source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_region_name,candidate_subregion,decision,decision_is_final,must_recheck_before_region_close,reason,nearest_labels_for_search_only
S-001,IU-001,86922be1d4,22607.488,1082.042,948,215,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-001: canconnect usage | L-002: canconnect | L-007: ensurecreated | L-012: database methods | L-008: ensuredeleted | L-014: migrations | L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr
S-012,IU-012,f8490d6b85,14607.787,1830.63,887,141,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-006: whenneeded | L-003: autotransactionbehavior | L-004: CURRENT TRANSACTION | L-010: !!! | L-011: always | L-016: never | L-005: autosavepointsenabled | L-018: when we can have disabled autosavepoints
S-013,IU-013,6cbd79dabe,16258.081,1913.952,897,268,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-010: !!! | L-009: !!! | L-006: whenneeded | L-013: !!! | L-011: always | L-018: when we can have disabled autosavepoints
S-014,IU-014,a25597376b,21197.189,1924.832,714,261,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-007: ensurecreated | L-008: ensuredeleted | L-002: canconnect | L-001: canconnect usage | L-012: database methods | L-014: migrations | L-015: migrate() | L-024: migration
S-015,IU-015,52e76fdb20,14605.237,1982.64,740,482,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-006: whenneeded | L-011: always | L-010: !!! | L-003: autotransactionbehavior | L-004: CURRENT TRANSACTION | L-016: never | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through
S-016,IU-016,86a6d029f3,22589.615,2006.503,944,397,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-001: canconnect usage | L-012: database methods | L-014: migrations | L-007: ensurecreated | L-015: migrate() | L-008: ensuredeleted | L-002: canconnect | L-025: getpendingmig/getappliedmigr/getmigr
S-017,IU-017,f349958410,17850.659,2128.585,941,191,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-009: !!! | L-005: autosavepointsenabled | L-013: !!! | L-004: CURRENT TRANSACTION | L-010: !!! | L-008: ensuredeleted | L-007: ensurecreated | L-002: canconnect
S-018,IU-018,f1b6b3ec43,16273.642,2189.422,878,471,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-010: !!! | L-009: !!! | L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-013: !!! | L-006: whenneeded | L-011: always | L-018: when we can have disabled autosavepoints
S-019,IU-019,d8a7a3ccc7,21188.911,2211.276,855,337,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-008: ensuredeleted | L-007: ensurecreated | L-002: canconnect | L-001: canconnect usage | L-012: database methods | L-014: migrations | L-015: migrate() | L-024: migration
S-020,IU-020,1d557a6bdb,17824.493,2320.109,940,387,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-009: !!! | L-005: autosavepointsenabled | L-013: !!! | L-004: CURRENT TRANSACTION | L-010: !!! | L-008: ensuredeleted | L-007: ensurecreated | L-018: when we can have disabled autosavepoints
S-021,IU-021,9630c78d6c,14569.953,2465.963,928,393,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-011: always | L-010: !!! | L-006: whenneeded | L-016: never | L-004: CURRENT TRANSACTION | L-003: autotransactionbehavior | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through
S-022,IU-022,bbfabb5d20,16290.627,2660.725,781,469,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-010: !!! | L-009: !!! | L-013: !!! | L-004: CURRENT TRANSACTION | L-005: autosavepointsenabled | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods
S-023,IU-023,e27cd4bbd8,17825.778,2714.157,926,357,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-009: !!! | L-013: !!! | L-005: autosavepointsenabled | L-010: !!! | L-004: CURRENT TRANSACTION | L-008: ensuredeleted | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through
S-024,IU-024,a1be321ab2,21160.485,2771.054,980,453,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01A,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-008: ensuredeleted | L-007: ensurecreated | L-012: database methods | L-014: migrations | L-015: migrate() | L-002: canconnect | L-001: canconnect usage | L-024: migration
S-025,IU-025,8c016512b6,14583.953,2845.63,852,375,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-011: always | L-010: !!! | L-006: whenneeded | L-016: never | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-004: CURRENT TRANSACTION | L-021: transaction methods
S-026,IU-026,ae6e5fab1f,16293.915,3214.134,932,264,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-010: !!! | L-009: !!! | L-013: !!! | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods | L-004: CURRENT TRANSACTION | L-011: always
S-027,IU-027,515cefc600,17811.064,3299.18,914,456,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-009: !!! | L-013: !!! | L-005: autosavepointsenabled | L-031: TRANSACTION OBJECT | L-010: !!! | L-018: when we can have disabled autosavepoints | L-033: IDbContextTransaction | L-019: and some manual savepoints logic through
S-028,IU-028,5c580fc158,14553.953,3352.463,936,460,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-011: always | L-016: never | L-010: !!! | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-023: when and why never | L-021: transaction methods | L-006: whenneeded
S-029,IU-029,9d59cacc4a,17799.207,3757.776,922,365,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-013: !!! | L-009: !!! | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods | L-005: autosavepointsenabled
S-030,IU-030,be34ea62c8,14518.787,3814.963,993,375,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-016: never | L-011: always | L-018: when we can have disabled autosavepoints | L-023: when and why never | L-019: and some manual savepoints logic through | L-010: !!! | L-021: transaction methods | L-006: whenneeded
S-031,IU-031,534194b01d,1324.105,4132.406,895,482,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-040: trigger generated | L-026: identity | L-043: value on insert | L-027: sequence | L-030: default constant | L-038: computed column | L-044: onaddorupdate col | L-017: what we can get after
S-032,IU-032,16587c193d,46.241,4153.073,924,482,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-040: trigger generated | L-043: value on insert | L-026: identity | L-027: sequence | L-030: default constant | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-033,IU-033,43d314f73d,14512.62,4288.63,1000,153,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-016: never | L-023: when and why never | L-018: when we can have disabled autosavepoints | L-019: and some manual savepoints logic through | L-021: transaction methods | L-011: always | L-010: !!! | L-036: is there some overhead from savepoint creation?
S-034,IU-034,70a5cc9c2c,22730.345,4359.148,947,332,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-015: migrate() | L-014: migrations | L-012: database methods | L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-024: migration | L-053: ensure created/deleted | L-008: ensuredeleted
S-035,IU-035,c6542a3688,14519.453,4451.796,901,480,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-023: when and why never | L-016: never | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-021: transaction methods | L-011: always | L-010: !!! | L-036: is there some overhead from savepoint creation?
S-036,IU-036,74409f1807,1341.259,4644.562,919,482,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-040: trigger generated | L-043: value on insert | L-026: identity | L-027: sequence | L-030: default constant | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-037,IU-037,b9675df28e,10.0,4656.007,943,320,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-040: trigger generated | L-043: value on insert | L-026: identity | L-030: default constant | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-038,IU-038,b8b98b6e6f,22717.679,4801.648,1015,407,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-015: migrate() | L-025: getpendingmig/getappliedmigr/getmigr | L-014: migrations | L-012: database methods | L-035: haspendingmodelchanges | L-024: migration | L-053: ensure created/deleted | L-066: getdbconnection
S-039,IU-039,02b511c630,16372.434,4926.179,922,306,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-021: transaction methods | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-013: !!! | L-036: is there some overhead from savepoint creation? | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-023: when and why never
S-040,IU-040,397ce4c284,15.167,5036.805,918,222,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-040: trigger generated | L-043: value on insert | L-030: default constant | L-026: identity | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-041,IU-041,6baa058c54,14514.453,5070.796,959,434,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02A,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-023: when and why never | L-021: transaction methods | L-016: never | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-036: is there some overhead from savepoint creation? | L-011: always | L-010: !!!
S-042,IU-042,dcbd43ef97,1348.592,5188.229,939,120,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-040: trigger generated | L-043: value on insert | L-026: identity | L-030: default constant | L-027: sequence | L-038: computed column | L-044: onaddorupdate col | L-046: default sql after insert
S-043,IU-043,b9ee766727,16366.553,5268.513,949,208,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-021: transaction methods | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-036: is there some overhead from savepoint creation? | L-013: !!! | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-023: when and why never
S-044,IU-044,17ce5a037a,22725.345,5363.981,1005,253,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-015: migrate() | L-014: migrations | L-053: ensure created/deleted | L-024: migration | L-012: database methods | L-066: getdbconnection
S-045,IU-045,b8dac87d22,4103.237,5393.225,875,189,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-027: sequence | L-026: identity | L-030: default constant | L-022: and from where | L-020: we call savechanges | L-038: computed column | L-017: what we can get after | L-034: INSERTED
S-046,IU-046,788d0427bb,21394.009,5408.61,775,222,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-024: migration | L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-053: ensure created/deleted | L-015: migrate() | L-014: migrations | L-012: database methods | L-066: getdbconnection
S-047,IU-047,463b614f06,16365.005,5516.87,914,397,CTXDB02,Automatic transactions / CurrentTransaction / AutoSavepointsEnabled,CTXDB02B,candidate-for-CTXDB02-transcript,no-boundary-review-only,yes,"AutoTransactionBehavior WhenNeeded/Always/Never, CurrentTransaction, AutoSavepointsEnabled, savepoint creation overhead, transaction methods around SaveChanges.",L-036: is there some overhead from savepoint creation? | L-021: transaction methods | L-019: and some manual savepoints logic through | L-018: when we can have disabled autosavepoints | L-031: TRANSACTION OBJECT | L-033: IDbContextTransaction | L-013: !!! | L-023: when and why never
S-048,IU-048,8471c9a942,22726.353,5631.143,781,482,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-035: haspendingmodelchanges | L-025: getpendingmig/getappliedmigr/getmigr | L-053: ensure created/deleted | L-015: migrate() | L-024: migration | L-014: migrations | L-012: database methods | L-066: getdbconnection
S-049,IU-049,8e2e641f7b,21362.398,5649.721,936,182,CTXDB01,DatabaseFacade methods / connectivity / ensure-created-deleted / migrations,CTXDB01B,candidate-for-CTXDB01-transcript,no-boundary-review-only,yes,"DatabaseFacade-style methods: CanConnect, EnsureCreated/Deleted, migrations, Migrate, GetPending/GetApplied migrations, HasPendingModelChanges.",L-024: migration | L-025: getpendingmig/getappliedmigr/getmigr | L-035: haspendingmodelchanges | L-053: ensure created/deleted | L-015: migrate() | L-014: migrations | L-012: database methods | L-066: getdbconnection
S-050,IU-050,a21f695961,4083.57,5694.983,821,137,CTXDB03,SaveChanges value generation / batching / performance / ChangeTracker.Clear / short-lived DbContext,CTXDB03A,candidate-for-CTXDB03-transcript,no-boundary-review-only,yes,"Generated values after SaveChanges, DB/provider generated IDs, computed columns, triggers, multiple SaveChanges, batching, long transaction performance, ChangeTracker.Clear and short-lived DbContext patterns.",L-027: sequence | L-030: default constant | L-026: identity | L-038: computed column | L-022: and from where | L-044: onaddorupdate col | L-034: INSERTED | L-046: default sql after insert
