source_id,decision,region,subregion,reason
S-094,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-095,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-096,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-098,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-103,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-107,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-109,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-111,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-117,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-119,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-125,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-127,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-128,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-129,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-130,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-131,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-138,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-139,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-141,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-145,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-146,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-147,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-150,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-153,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
S-156,processed-in-ctxdb03-v001,CTXDB03,CTXDB03B,"Batching and import performance, chunked SaveChanges, ChangeTracker.Clear, short-lived DbContext, manual savepoints."
