source_id,image_use_id,fileId,fileId_short,x,y,width,height,opacity,candidate_region,nearest_labels,duplicate_use_count,duplicate_source_ids,source_image_path
S-001,IU-001,4aec986325d795ec8b02245ee73f46a7ab79c097,4aec986325,16714.23589728051,731.3790746507166,770.0,482.0,1,R04,manual executiong | custom pipeline | + | provider | passing context to | classic polly,2,"S-001,S-033",source/images/4aec986325.png
S-012,IU-012,083fb22bcecea834bdab2db185252f5fc9c8161f,083fb22bce,24291.15537021769,1358.6371742376705,962.0,367.0,1,R05,examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,source/images/083fb22bce.png
S-013,IU-013,f0f0808ea8de7f77884ef79b57e84495c038a396,f0f0808ea8,12394.126625169538,1391.340237811708,858.0,464.0,1,R03,"the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | ratelimiterstrategy args | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,source/images/f0f0808ea8.png
S-014,IU-014,03752417080e93752766b0421bbc3e43100389d1,0375241708,30403.95452688914,1400.850713326172,669.0,353.0,1,R07,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,source/images/0375241708.png
S-015,IU-015,764dcc83ead29a5a391a1bb2581b2fa07c6c429b,764dcc83ea,22913.779021184237,1401.5346805602803,1020.0,479.0,1,R05,classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling | 4 registry | !!!,1,,source/images/764dcc83ea.png
S-016,IU-016,812d9d362b60476d590721fd1183fc483208da7f,812d9d362b,4042.2104192668794,1413.4315090610617,921.0,452.0,1,R01,setting properties | args args in shouldhandle | why do we need to attach request to context | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,source/images/812d9d362b.png
S-017,IU-017,260ed0a5d463fb148319a0212a5bc49eaccdea1f,260ed0a5d4,28760.08108619206,1437.5279388326871,911.0,267.0,1,R06,shared impl | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry;,1,,source/images/260ed0a5d4.png
S-018,IU-018,4903cfaa87d34bda904529d7c84672858867cb02,4903cfaa87,21752.877416116127,1457.4150876491385,731.0,451.0,1,R05,cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling | 4 registry,1,,source/images/4903cfaa87.png
S-019,IU-019,7dabb30d0333193ed91ca0973334a1098e02d60c,7dabb30d03,8029.045461950558,1526.3661118115288,577.0,482.0,1,R02,SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | need to use pipeline excplicitly with pipeline provider | hedging priciple of work | custom,1,,source/images/7dabb30d03.png
S-020,IU-020,00817539fe2766c44bbb53d4785c04941c631f1e,00817539fe,18682.662928847778,1537.7824884188549,833.0,368.0,1,R04,classic | passing context to | classic polly | + | getting pipeline from registry | cheat sheet,1,,source/images/00817539fe.png
S-021,IU-021,c6c78918dc0d89a9246c62082ef6afc262a261cb,c6c78918dc,5929.335920969219,1556.7815772701997,624.0,154.0,1,R01,setting properties | new standart vs custom | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-021,S-079",source/images/c6c78918dc.png
S-022,IU-022,c7cf32651d8b6b54b5ec0733a321f6d84c6acdee,c7cf32651d,31.796352810328244,1557.9655105155534,922.0,408.0,1,R01,"delay generator, way to fallback to defaults | args args in shouldhandle | why do we need to attach request to context | setting properties | nesting | need to think about nesting in polly like that",2,"S-022,S-092",source/images/c7cf32651d.png
S-023,IU-023,4d72e66e1021b21408d22748aeed30650ace2a02,4d72e66e10,15279.528147004134,1571.9455832815443,944.0,284.0,1,R03,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,1,,source/images/4d72e66e10.png
S-024,IU-024,154e41c1f001caa406a32d245b44bfb0e1776048,154e41c1f0,19711.085536717244,1582.717984424582,952.0,377.0,1,R04,classic | cheat sheet | !!! | passing context to | classic polly | +,1,,source/images/154e41c1f0.png
S-025,IU-025,33f67f3df8aa16514803e811076b9baa839bf378,33f67f3df8,1430.1457893349143,1585.6002567324476,745.0,317.0,1,R01,"args args in shouldhandle | why do we need to attach request to context | delay generator, way to fallback to defaults | setting properties | nesting | new standart vs custom",1,,source/images/33f67f3df8.png
S-026,IU-026,01c81512dbf129eb27a8378598bd6e72d2b7d008,01c81512db,11383.47803580391,1595.6766266850864,777.0,482.0,1,R03,"the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | ratelimiterstrategy args | custom | hedging priciple of work | so to have delegating handler that gets pipeline with pipelineprovider",1,,source/images/01c81512db.png
S-027,IU-027,347d669f32e0206c5742e97c735685b7423a3e9b,347d669f32,31500.884604751685,1719.1346580547524,915.0,482.0,1,R07,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,2,"S-027,S-100",source/images/347d669f32.png
S-028,IU-028,3bd3aa517fdcfcd0fa35baf3bf3a586f71e852d6,3bd3aa517f,28766.914303267953,1746.0516902277723,924.0,469.0,1,R06,shared impl | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry;,1,,source/images/3bd3aa517f.png
S-029,IU-029,346be9b86fdc8d71657fd920cc123af313aac6c4,346be9b86f,24322.54174886805,1754.3142372259517,849.0,482.0,1,R05,!!! | examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,source/images/346be9b86f.png
S-030,IU-030,4b4ce425a390450a40268cbeff676587b8bdf04f,4b4ce425a3,30394.454282748517,1807.6840263144531,928.0,398.0,1,R07,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,source/images/4b4ce425a3.png
S-031,IU-031,fc8053ad8a0a3393fb121683d3800aeb090c0aec,fc8053ad8a,5398.714248731112,1812.5062688285016,790.0,482.0,1,R01,setting properties | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | need to use pipeline excplicitly with pipeline provider | args args in shouldhandle,2,"S-031,S-083",source/images/fc8053ad8a.png
S-032,IU-032,5bd0dfe740d9e5feba622d5306af33a5fcf5897e,5bd0dfe740,13302.620719475057,1820.6125096624946,961.0,370.0,1,R03,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,source/images/5bd0dfe740.png
S-033,IU-033,4aec986325d795ec8b02245ee73f46a7ab79c097,4aec986325,15263.883572463143,1857.7894095754896,770.0,482.0,1,R03,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,2,"S-001,S-033",source/images/4aec986325.png
S-034,IU-034,cf4aba673cf0a55ba258f222e6814f20cf576262,cf4aba673c,4106.771443480191,1883.8733289114753,604.0,349.0,1,R01,setting properties | args args in shouldhandle | why do we need to attach request to context | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom,1,,source/images/cf4aba673c.png
S-035,IU-035,af54ccdfe57f9790f4306110bd0012fb68d6f415,af54ccdfe5,12284.200614259535,1890.0955645086124,854.0,444.0,1,R03,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | custom | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties",1,,source/images/af54ccdfe5.png
S-036,IU-036,b49886f626564fbeba0c1e4208ca62ba2cd7f0a3,b49886f626,22978.32187412394,1910.6372352728267,977.0,477.0,1,R05,!!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,source/images/b49886f626.png
S-037,IU-037,4cd9d99fde1e89b400f955aa7bd306bc48db8af5,4cd9d99fde,21713.155329527588,1948.304044354858,966.0,327.0,1,R05,!!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling) | 3 attach around httpclient with confiigured trans errors handling,1,,source/images/4cd9d99fde.png
S-038,IU-038,4756a372c93a12465cd91382b32906f389cd790a,4756a372c9,19717.949284053895,1964.2633834834833,931.0,283.0,1,R04,cheat sheet | classic | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,source/images/4756a372c9.png
S-039,IU-039,d623048952455ac947e11a31d89966b31ca62e27,d623048952,7988.109148279222,2013.0222092236381,842.0,79.0,1,R02,SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | new standart vs custom | hedging priciple of work | custom,1,,source/images/d623048952.png
S-040,IU-040,82fc2acfb5e903968e76c8bbb567a98c43fb3a52,82fc2acfb5,11406.125176559482,2094.5146948668953,930.0,481.0,1,R03,"the pipeline, not handler, you cant use handler for manual execution | ratelimiterstrategy args | making request with pipeline.execute | custom | hedging priciple of work | rate limiter in polly",1,,source/images/82fc2acfb5.png
S-041,IU-041,3d110ff6b303ccfcf13d888b0430b9c1f624b006,3d110ff6b3,7962.34556998462,2142.6150353929534,884.0,283.0,1,R02,SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | hedging priciple of work | new standart vs custom | custom,1,,source/images/3d110ff6b3.png
S-042,IU-042,db8e76c35ce7b250e8475e9f14bda8182b728731,db8e76c35c,13309.095230220304,2179.316315581824,891.0,291.0,1,R03,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or",1,,source/images/db8e76c35c.png
S-043,IU-043,a35edc76b13c378ec523204682ca0c77f448fc81,a35edc76b1,28783.509657620634,2212.742180950443,807.0,328.0,1,R06,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,source/images/a35edc76b1.png
S-044,IU-044,fdb5e44e624513deb68f58f09339c6ec7e4bd1f1,fdb5e44e62,30413.518591870426,2234.8610893027344,741.0,482.0,1,R07,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,2,"S-044,S-178",source/images/fdb5e44e62.png
S-045,IU-045,38c57f14403d81c8df74b5797762997c3d32c66e,38c57f1440,19704.237014877755,2254.505826221457,956.0,471.0,1,R04,cheat sheet | classic | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/38c57f1440.png
S-046,IU-046,5b7c0cfb1edb64d0b0f18a3567d25f58c9b56ff9,5b7c0cfb1e,24317.010860692797,2270.795604549092,789.0,482.0,1,R05,!!! | !!! | examples | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/5b7c0cfb1e.png
S-047,IU-047,377ad8734cdd54b2abb51b6ca3bd740a575cf7cb,377ad8734c,3993.4760924271814,2294.5721883562946,950.0,139.0,1,R01,setting properties | args args in shouldhandle | why do we need to attach request to context | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | nesting,1,,source/images/377ad8734c.png
S-048,IU-048,892310b6503815f8e458d1684f3062453169dd73,892310b650,15249.909106651177,2356.4455832815443,808.0,425.0,1,R03,so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options | for simple scenarios its better to create wrapper with manual pipeline,1,,source/images/892310b650.png
S-049,IU-049,5105984e7b2247993d34c43f4f4deccf68078aa0,5105984e7b,21715.39477211703,2415.6555007699408,703.0,430.0,1,R05,!!! | !!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,source/images/5105984e7b.png
S-050,IU-050,7acb455cf8ab24faf4c1fe4b34c5a121e835a761,7acb455cf8,22979.655126077065,2427.137296307983,1017.0,462.0,1,R05,!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,source/images/7acb455cf8.png
S-051,IU-051,2d36297f56a7725c9346a2c5626fbb24a493cce7,2d36297f56,12382.896189662904,2433.17542106196,707.0,482.0,1,R03,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | making request with pipeline.execute | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options",1,,source/images/2d36297f56.png
S-052,IU-052,39f128b4d582024a3016b13e994dfaeadc9fd7d3,39f128b4d5,3999.9335805539286,2479.718000723791,911.0,473.0,1,R01,setting properties | nesting | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | args args in shouldhandle | why do we need to attach request to context,1,,source/images/39f128b4d5.png
S-053,IU-053,5f9e2fb3e272fb460c2d0dadb7a5ccaaf8bc5cf2,5f9e2fb3e2,8009.807665475799,2490.572360457214,862.0,78.0,1,R02,SETTING TRUE/FALSE | BASED ON REQUEST METHOD | need to use pipeline excplicitly with pipeline provider | hedging priciple of work | new standart vs custom | custom,1,,source/images/5f9e2fb3e2.png
S-054,IU-054,4de8acb1fd4d68ec35dd06cffa2556276a49c57e,4de8acb1fd,28776.795371906348,2556.027938832687,969.0,350.0,1,R06,Exception handling | theory | mapping | using Polly; | using Polly.Timeout; | using Polly.Bulkhead;,2,"S-054,S-177",source/images/4de8acb1fd.png
S-055,IU-055,84367ac66e19286d796ead89d085991f277d45d9,84367ac66e,11459.809735757843,2581.131172139616,667.0,482.0,1,R03,"ratelimiterstrategy args | the pipeline, not handler, you cant use handler for manual execution | hedging priciple of work | making request with pipeline.execute | rate limiter in polly | concur vs addratelimiter",1,,source/images/84367ac66e.png
S-056,IU-056,a4db22a75f293b78b9c4e220bf8872038cab5422,a4db22a75f,7980.6738897775795,2602.628381024564,917.0,482.0,1,R02,need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | hedging priciple of work | new standart vs custom | custom,1,,source/images/a4db22a75f.png
S-057,IU-057,42f54ebe499ba9c6d8460172bae55a24a199bf53,42f54ebe49,13473.734942844705,2636.8761513399277,1058.0,375.0,1,R03,ratelimiterstrategy args | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties,1,,source/images/42f54ebe49.png
S-058,IU-058,63b5a940f463655470a96180e9fbf24d59126fcb,63b5a940f4,19712.267299412557,2733.1876444032805,986.0,270.0,1,R04,cheat sheet | !!! | !!! | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/63b5a940f4.png
S-059,IU-059,b1c434af62a6bad24743951d6718af3a82292c51,b1c434af62,30406.95452688914,2746.8505912558594,839.0,461.0,1,R07,using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker; | using Polly.Retry; | using Polly.Wrap;,1,,source/images/b1c434af62.png
S-060,IU-060,e23ed23608a2c777c5a2b8ee45c085b0e1e671fe,e23ed23608,15236.495090378987,2786.1226920461927,785.0,482.0,1,R03,ratelimiterstrategy args | so to have delegating handler that gets pipeline with pipelineprovider | based on request properties | or | creating a wrapper that runs pipeline.execute and passes context | look like the cleanest options,1,,source/images/e23ed23608.png
S-061,IU-061,f0f446defd29242c3903600bce7715cf6bbd093b,f0f446defd,21712.89593931724,2906.084028601972,1072.0,272.0,1,R05,!!! | !!! | !!! | cheat sheet | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/f0f446defd.png
S-062,IU-062,c6022c85f6b8e1a60a03c3761bcf8484b23cd968,c6022c85f6,28740.79665622092,2911.646957387389,871.0,374.0,1,R06,Exception handling | theory | mapping | exception bubbling | using Polly; | using Polly.Timeout;,2,"S-062,S-180",source/images/c6022c85f6.png
S-063,IU-063,99e5aa46a254118a6c0de3c1ee245735a26a9bd0,99e5aa46a2,22979.155248147377,2912.137296307983,994.0,444.0,1,R05,!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,source/images/99e5aa46a2.png
S-064,IU-064,7a1d15ca37999762bbb784c4ff3a6ac1bdbf493f,7a1d15ca37,4024.533590871748,2952.8892347777,897.0,482.0,1,R01,nesting | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | setting properties | need to use pipeline excplicitly with pipeline provider | need to think about nesting in polly like that,1,,source/images/7a1d15ca37.png
S-065,IU-065,c6da91c1d03e16fafe36a1982f9587a2e09f1bae,c6da91c1d0,13616.828677383297,3031.7047868157733,745.0,482.0,1,R03,ratelimiterstrategy args | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | ratelimiterpartition and partitioned rate limiter | 3 scenarios,1,,source/images/c6da91c1d0.png
S-066,IU-066,19b9f83a9f460cb8ce048b80abc75f01cdf11f3a,19b9f83a9f,19761.172100105032,3035.5162798791116,748.0,482.0,1,R04,!!! | !!! | cheat sheet | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/19b9f83a9f.png
S-067,IU-067,5a9b22f06848892d9c8b4af4a30ec342ccd227e0,5a9b22f068,11457.111791507035,3086.58571759416,770.0,482.0,1,R03,ratelimiterstrategy args | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | hedging priciple of work | !!!,1,,source/images/5a9b22f068.png
S-068,IU-068,b018717e5c74219bf0a49461acf0b556a3090568,b018717e5c,8034.159745806592,3222.2444826717965,823.0,482.0,1,R02,need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | hedging priciple of work | new standart vs custom | custom,2,"S-008,S-068",source/images/b018717e5c.png
S-069,IU-069,784c5d39002f7a0e6325e2f364c8603d5635b03e,784c5d3900,30423.78753470164,3237.183965279297,816.0,371.0,1,R07,mapping | Exception handling | using Polly; | using Polly.Timeout; | using Polly.Bulkhead; | using Polly.CircuitBreaker;,1,,source/images/784c5d3900.png
S-070,IU-070,24e2f359319275393a68bf3f786f173c9571b874,24e2f35931,15277.919246737642,3276.1226157522474,685.0,482.0,1,R03,ratelimiterpartition and partitioned rate limiter | 3 scenarios | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case) | 2 we need to create ratelimiter with callback that has httpcontext,1,,source/images/24e2f35931.png
S-071,IU-071,a9f9394a5cc825915115630476a8cbf1e3e4277a,a9f9394a5c,28769.843049082687,3294.766063135159,861.0,183.0,1,R06,Exception handling | theory | mapping | exception bubbling | try | {,1,,source/images/a9f9394a5c.png
S-072,IU-072,ad86b967dacad6c32a9ddcccd7aa73f0f91759f4,ad86b967da,22979.74485031442,3391.6476722845455,902.0,482.0,1,R05,!!! | !!! | !!! | classic polly httppolicyextensions | 1what counts as  transient http failure | 2 transient status codes (when have your own exception handling),1,,source/images/ad86b967da.png
S-073,IU-073,8504d1915e9e66d65590c6c1302de0f65806b3d1,8504d1915e,4064.7744978110986,3448.058844162195,907.0,450.0,1,R01,nesting | need to think about nesting in polly like that | whe nsomeything has multiple retries or hedge attempts | and we put something inside - we wrap each retry with one bulhead | and all retries affect bulkhead | SETTING TRUE/FALSE,1,,source/images/8504d1915e.png
S-074,IU-074,344ef2b02073d8a7280d69b299ffd9bcf9b05942,344ef2b020,2725.1475008381403,3492.623008536568,1310.0,283.0,1,R01,nesting | need to think about nesting in polly like that | whe nsomeything has multiple retries or hedge attempts | and we put something inside - we wrap each retry with one bulhead | and all retries affect bulkhead | args args in shouldhandle,1,,source/images/344ef2b020.png
S-075,IU-075,020cb4e5d1fb3fa8e7f1e9761b38c6b79239d200,020cb4e5d1,28782.414477654114,3499.361243101679,893.0,170.0,1,R06,Exception handling | theory | mapping | exception bubbling | try | {,1,,source/images/020cb4e5d1.png
S-076,IU-076,2f10c18e17a46464a15b41f73806755531e6098c,2f10c18e17,13593.833489556755,3505.6441067731703,764.0,482.0,1,R03,rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | ratelimiterpartition and partitioned rate limiter | 3 scenarios | ratelimiterstrategy args,1,,source/images/2f10c18e17.png
S-077,IU-077,6342b0e96a41ad3407df0dfa1836679299663ada,6342b0e96a,9745.281560504245,3508.8102232855786,982.0,192.0,1,R02,hedging priciple of work | need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | !!! | using strategyopiton need to acquire,1,,source/images/6342b0e96a.png
S-078,IU-078,afb5f438bc4ce2dc7a5cde4d72c43fa1e499b93d,afb5f438bc,19781.05508572293,3532.717984424582,926.0,397.0,1,R04,!!! | !!! | cheat sheet | classic | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/afb5f438bc.png
S-079,IU-079,c6c78918dc0d89a9246c62082ef6afc262a261cb,c6c78918dc,8569.097027548727,3564.7047878689937,624.0,154.0,1,R02,hedging priciple of work | need to use pipeline excplicitly with pipeline provider | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | new standart vs custom | !!!,2,"S-021,S-079",source/images/c6c78918dc.png
S-080,IU-080,25e6ed724ec2fa6f29da33df3daafa55ed5279af,25e6ed724e,11486.557405078665,3576.2827057866198,774.0,482.0,1,R03,!!! | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | using strategyopiton need to acquire | hedging priciple of work,1,,source/images/25e6ed724e.png
S-081,IU-081,dcd85fd5489ba0471628f99a3801402febdf2c39,dcd85fd548,30412.287778842267,3636.8508353964844,887.0,201.0,1,R07,"mapping | Exception handling | try | { | var resp = await client.GetAsync(url, cancellationToken); | if (resp.StatusCode == HttpStatusCode.NotFound)",1,,source/images/dcd85fd548.png
S-082,IU-082,12778194d0148a05a0522a78b79e119a6aa2fc4f,12778194d0,9850.42975386362,3732.180571050329,668.0,326.0,1,R02,hedging priciple of work | need to use pipeline excplicitly with pipeline provider | !!! | using strategyopiton need to acquire | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,source/images/12778194d0.png
S-083,IU-083,fc8053ad8a0a3393fb121683d3800aeb090c0aec,fc8053ad8a,8079.591173180783,3762.874194246773,790.0,482.0,1,R02,need to use pipeline excplicitly with pipeline provider | hedging priciple of work | SETTING TRUE/FALSE | BASED ON REQUEST METHOD | using strategyopiton need to acquire | !!!,2,"S-031,S-083",source/images/fc8053ad8a.png
S-084,IU-084,6b594bdab108e255686d507d6d324fb28bfea8ff,6b594bdab1,15244.24238912188,3794.77890389922,916.0,325.0,1,R03,ratelimiterpartition and partitioned rate limiter | 3 scenarios | so we need ratelimitpartition when | 1 we need specific ratelimiter and we need to pass | key (ratelimiter middleware case) | 2 we need to create ratelimiter with callback that has httpcontext,1,,source/images/6b594bdab1.png
S-085,IU-085,043ea65a3f35712036dd2ff0eb74135bf1f29f18,043ea65a3f,30396.767620485956,3858.9563106859696,818.0,482.0,1,R07,"mapping | try | { | var resp = await client.GetAsync(url, cancellationToken); | if (resp.StatusCode == HttpStatusCode.NotFound) | return /* handle 404 */;",1,,source/images/043ea65a3f.png
S-086,IU-086,b2e1373c76d64823fc319c195ea53b64467c97ae,b2e1373c76,22966.988500100502,3866.3039222845455,1021.0,397.0,1,R05,!!! | !!! | !!! | exception bubbling | classic polly httppolicyextensions | 1what counts as  transient http failure,1,,source/images/b2e1373c76.png
S-087,IU-087,893dc6acd1b3173f81e310f390afbf823983acb6,893dc6acd1,19820.403607562417,3942.445257151876,777.0,283.0,1,R04,!!! | !!! | cheat sheet | how to handle? | !!! | classic polly httppolicyextensions,1,,source/images/893dc6acd1.png
S-088,IU-088,7048156b70369900f0440fc238c52d5b9749b212,7048156b70,9874.152247353206,4091.680571050329,785.0,327.0,1,R02,hedging priciple of work | need to use pipeline excplicitly with pipeline provider | !!! | using strategyopiton need to acquire | SETTING TRUE/FALSE | BASED ON REQUEST METHOD,1,,source/images/7048156b70.png
S-089,IU-089,9a8b3e8e187d339fcbb884409590b46654bc4559,9a8b3e8e18,11500.69033158878,4103.746310800383,961.0,406.0,1,R03,!!! | using strategyopiton need to acquire | rate limiter in polly | concur vs addratelimiter | and ratelimiterstrat options | from threading we return our limiter types,1,,source/images/9a8b3e8e18.png
