source_id,image_use_id,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-053,IU-053,05e414e028,4020.017,4151.878,817,248,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-044: asnotrackkingwithidentityresolution | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-075: MEMORY OVERHEAD WITH IDENTITY RESOL | COMPARED WITH ASNOTRACKING AND TRACKING | L-007: reduce cpu and everything for reads,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-054,IU-054,be97b0c8b5,4031.44,4421.388,806,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution | L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-075: MEMORY OVERHEAD WITH IDENTITY RESOL | COMPARED WITH ASNOTRACKING AND TRACKING,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-055,IU-055,75c8a8c2fe,4009.906,4926.692,855,328,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution | L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-056,IU-056,2252a4c4af,4019.517,5287.378,818,297,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-044: asnotrackkingwithidentityresolution | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-057,IU-057,eb072cdd8b,4010.894,5767.769,837,260,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-044: asnotrackkingwithidentityresolution,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-058,IU-058,16669395cb,4030.098,6037.219,590,482,EF01A-tracking-identity-map-no-tracking-identity-resolution,candidate-for-next-transcript-pass,L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-044: asnotrackkingwithidentityresolution,"Belongs to first EF01 transcript pass: tracking behavior, identity map, no-tracking, identity resolution, projections/read models."
S-037,IU-037,691ce63670,5530.728,4543.207,855,478,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-044: asnotrackkingwithidentityresolution | L-043: when useful | L-032: loadasyn + autoinclude,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-038,IU-038,ac404adaa8,5528.069,5021.051,647,482,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-032: loadasyn + autoinclude | L-044: asnotrackkingwithidentityresolution,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-039,IU-039,7f7dafd9fe,5515.41,5519.707,842,445,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-044: asnotrackkingwithidentityresolution,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-040,IU-040,e3704b53e4,5517.91,5993.374,837,431,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-041,IU-041,2175a4a601,5498.016,6440.798,518,341,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-059,IU-059,f79556b4d7,3977.764,6768.128,765,482,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-060,IU-060,a42c0c4aad,3962.803,7299.557,875,474,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-043: when useful | L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-042,IU-042,810b517d3a,5491.121,7617.874,833,417,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-077: db invariant handling | strategies,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-043,IU-043,4f85a4e72b,5505.621,8080.707,804,398,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-043: when useful | L-077: db invariant handling | strategies | L-042: use asnotrackingwithidentityresolution for ef core reads by default?,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-044,IU-044,3edaef3497,5517.906,8527.44,608,482,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-077: db invariant handling | strategies | L-043: when useful | L-013: native declarative | constraints,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-045,IU-045,1607e83e8f,5490.047,9076.022,687,197,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-032: loadasyn + autoinclude | L-077: db invariant handling | strategies | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-013: native declarative | constraints | L-043: when useful,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-046,IU-046,b074625c29,5497.714,9304.207,805,271,EF01B-loading-collections-include-find-load-autoinclude,reserved-later-subblock,L-077: db invariant handling | strategies | L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-013: native declarative | constraints | L-043: when useful,"Belongs to second EF01 subblock: collection loading, Include/Find/Load, AutoInclude, graph loading."
S-006,IU-006,8a232da430,7542.419,2284.89,990,226,checked-neighbor-pending-not-ef01a,pending-neighbor-check,"L-006: shadow prop usage | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter","Adjacent/related by coordinate/label, but not included in EF01A transcript until visually/semantically reviewed."
S-029,IU-029,5e335b4ef1,8761.267,2461.568,820,289,checked-neighbor-pending-not-ef01a,pending-neighbor-check,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-028: ctors wont run when ef materializes entities?","Adjacent/related by coordinate/label, but not included in EF01A transcript until visually/semantically reviewed."
S-030,IU-030,1b74640858,8762.46,2823.004,713,241,checked-neighbor-pending-not-ef01a,pending-neighbor-check,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-028: ctors wont run when ef materializes entities?","Adjacent/related by coordinate/label, but not included in EF01A transcript until visually/semantically reviewed."
