source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-011,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-012,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-013,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-014,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-015,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-016,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-017,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-018,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-019,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-020,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-021,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-022,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-023,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-024,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-025,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-026,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-027,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-028,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-029,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-030,EncodingUtf8Chunk Stage1,ENC-R01,processed-in-enc-r01-v001,ENC-R01,processed-in-enc-r01-v001,yes-for-enc-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-031,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-032,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-033,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-034,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-035,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-036,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-037,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-038,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-039,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-040,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-041,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-042,EncodingUtf8Chunk Stage1,ENC-R03,processed-in-enc-r03-v001,ENC-R03,processed-in-enc-r03-v001,yes-for-enc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-043,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-044,EncodingUtf8Chunk Stage1,ENC-R03,processed-in-enc-r03-v001,ENC-R03,processed-in-enc-r03-v001,yes-for-enc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-045,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-046,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-047,EncodingUtf8Chunk Stage1,ENC-R03,processed-in-enc-r03-v001,ENC-R03,processed-in-enc-r03-v001,yes-for-enc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-048,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-049,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-050,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-051,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-052,EncodingUtf8Chunk Stage1,ENC-R03,processed-in-enc-r03-v001,ENC-R03,processed-in-enc-r03-v001,yes-for-enc-r03-stage1,no-for-stage1-semantic-transcript,no,yes
S-053,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-054,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
S-055,EncodingUtf8Chunk Stage2,ENC-R02,processed-in-enc-r02-v001,ENC-R02,processed-in-enc-r02-v001,yes-for-enc-r02-stage2,no-for-stage2-semantic-transcript,no,yes
