source_id,image_use_id,formal_inventory_region,boundary_region,fileId_short,x,y,width,height,candidate_group,boundary_decision,nearest_labels_for_search_only,review_note
S-068,IU-068,R04,R04A,3d947e5f86,12797.64,6873.558,641,412,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-069,IU-069,R04,R04A,33b49582ee,8072.924,7051.151,658,270,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-025: Refetch triggers | L-023: Staleness when refetch occurs | L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default...,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-070,IU-070,R04,R04A,8d3fd0a7f7,11627.833,7292.091,850,368,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-029: so no error thrown bu without auto retry on mount,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-071,IU-071,R04,R04A,9eb932564a,12788.64,7346.725,939,459,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-073,IU-073,R04,R04A,bba33258c2,8008.537,7636.812,878,482,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-025: Refetch triggers | L-032: removing cache that is not being used not active queries gctime | L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default...,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-074,IU-074,R04,R04A,577412eb23,11622.619,7670.325,591,482,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-029: so no error thrown bu without auto retry on mount,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-075,IU-075,R04,R04A,62d845b921,14124.839,7804.902,885,318,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-076,IU-076,R04,R04A,4e4df28c03,12786.861,7817.402,876,482,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-077,IU-077,R04,R04A,2e326e9966,10088.538,7818.982,907,241,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default...,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-079,IU-079,R04,R04A,ac6478b204,8953.342,7838.745,918,391,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default... | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-023: Staleness when refetch occurs,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-082,IU-082,R04,R04A,a75c02ceb1,10117.945,8064.818,901,404,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default...,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-084,IU-084,R04,R04A,68a664c2d5,14138.173,8167.421,885,390,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-087,IU-087,R04,R04A,6674e4d2e9,8960.414,8241.65,881,469,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default... | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-032: removing cache that is not being used not active queries gctime,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-088,IU-088,R04,R04A,e48ab34495,12765.247,8301.218,990,439,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-090,IU-090,R04,R04A,ba574a8024,10110.612,8449.818,889,226,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default...,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-091,IU-091,R04,R04A,1c6a61c9e4,11378.854,8458.716,904,320,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-029: so no error thrown bu without auto retry on mount,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-095,IU-095,R04,R04A,ff5a3dac41,10096.445,8694.152,960,452,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default...,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-097,IU-097,R04,R04A,4e38da6f7c,8957.105,8732.412,880,337,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default... | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-032: removing cache that is not being used not active queries gctime,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-098,IU-098,R04,R04A,27679ed8ee,11391.884,8793.625,924,392,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-029: so no error thrown bu without auto retry on mount,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-099,IU-099,R04,R04A,1314fac193,12759.969,8796.385,925,422,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-029: so no error thrown bu without auto retry on mount | L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-103,IU-103,R04,R04A,4e59a80541,11374.339,9202.64,930,437,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC | L-029: so no error thrown bu without auto retry on mount,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-104,IU-104,R04,R04A,50eadf70df,12777.96,9232.895,689,482,r04a-staleness-static-refetch-retry-candidate,candidate-not-final,L-033: when refetch can happen with STATIC refetchontrigger: always vs staletime:static | L-029: so no error thrown bu without auto retry on mount | L-026: when a query can become stale stale time vs invalidat queires staletime STATIC,"R04A candidate: staleTime, invalidation, static staleTime, refetch triggers, retry/no auto retry on mount. S-062 is inbound from R02."
S-072,IU-072,R04,R04B,852ba9b003,6423.509,7455.492,891,364,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r... | L-022: rereders | L-032: removing cache that is not being used not active queries gctime","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-078,IU-078,R04,R04B,6185671034,6413.732,7838.547,887,373,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r... | L-022: rereders | L-032: removing cache that is not being used not active queries gctime","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-081,IU-081,R04,R04B,508013e6b9,5137.502,7981.224,933,482,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-030: structural  sharing, use from query only the data that will cause rerender on change  acts just like a store | L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r... | L-022: rereders","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-086,IU-086,R04,R04B,3f38cd3ee4,6419.761,8223.891,838,482,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-035: refetch interval | L-032: removing cache that is not being used not active queries gctime | L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r...","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-089,IU-089,R04,R04B,ee98c678db,8056.461,8336.379,609,482,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,L-032: removing cache that is not being used not active queries gctime | L-035: refetch interval | L-025: Refetch triggers,"R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-092,IU-092,R04,R04B,db432e0178,5145.398,8490.047,917,302,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-030: structural  sharing, use from query only the data that will cause rerender on change  acts just like a store | L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r... | L-022: rereders","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-096,IU-096,R04,R04B,d076db1a35,6419.065,8720.547,935,257,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-035: refetch interval | L-032: removing cache that is not being used not active queries gctime | L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r...","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-100,IU-100,R04,R04B,873cf4d11f,5131.232,8799.547,860,411,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-030: structural  sharing, use from query only the data that will cause rerender on change  acts just like a store | L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r... | L-035: refetch interval","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-102,IU-102,R04,R04B,03697f7b6d,8999.614,9120.859,919,449,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,L-027: so if staletime has passed or if we marked as stale with invalidate queries or if we didnt set staletime - by default... | L-035: refetch interval | L-032: removing cache that is not being used not active queries gctime,"R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-105,IU-105,R04,R04B,dc0361e533,5136.732,9236.381,913,228,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,"L-030: structural  sharing, use from query only the data that will cause rerender on change  acts just like a store | L-035: refetch interval | L-024: if after some manipulations the data that is used by so,e component from query has changed - then observer notifies r...","R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
S-107,IU-107,R04,R04B,180be1e245,7489.485,9417.343,910,390,r04b-observer-cache-gctime-refetchinterval-candidate,candidate-not-final,L-035: refetch interval | L-032: removing cache that is not being used not active queries gctime | L-025: Refetch triggers,"R04B candidate: observer/rerender mechanics, structural sharing, inactive cache/gcTime, refetchInterval and cache lifecycle."
