source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-418,7,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-418,3bdb1b257a,4208.822,37728.664,912,479,L-109: usetransition | L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-116: use to show that new page is loading while the old page is still on the screen
S-421,8,R17-useTransition-urgent-nonurgent-pagination,R17,r17-usetransition-pagination-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"React useTransition, urgent/non-urgent updates, keeping old page visible while new page is loading.",IU-421,84844e7d4b,2993.583,37864.423,705,323,L-116: use to show that new page is loading while the old page is still on the screen | L-110: react marksstate updates and rerenders that they cause as urgent and non urgent so we can have urgent updates while w... | L-109: usetransition
S-385,1,R18-query-key-factories-global-config,R18,r18-query-key-factories-global-config-candidate-stage6a,candidate-not-final-stage6a-boundary-only,Global/default config and query key factory cards.,IU-385,5fc37cd9db,12043.273,34751.187,329,76,L-103: global/default config | L-107: Query key factories | L-115: performance structural sharing observers SELECT
S-387,2,R18-query-key-factories-global-config,R18,r18-query-key-factories-global-config-candidate-stage6a,candidate-not-final-stage6a-boundary-only,Global/default config and query key factory cards.,IU-387,d878621922,11954.791,34888.031,790,482,L-107: Query key factories | L-103: global/default config | L-115: performance structural sharing observers SELECT
S-391,3,R18-query-key-factories-global-config,R18,r18-query-key-factories-global-config-candidate-stage6a,candidate-not-final-stage6a-boundary-only,Global/default config and query key factory cards.,IU-391,8c70db8566,11932.662,35385.631,928,296,L-107: Query key factories | L-103: global/default config | L-115: performance structural sharing observers SELECT
S-397,4,R18-query-key-factories-global-config,R18,r18-query-key-factories-global-config-candidate-stage6a,candidate-not-final-stage6a-boundary-only,Global/default config and query key factory cards.,IU-397,155177db8b,11932.218,36147.631,880,332,L-107: Query key factories | L-115: performance structural sharing observers SELECT | L-103: global/default config
S-400,5,R18-query-key-factories-global-config,R18,r18-query-key-factories-global-config-candidate-stage6a,candidate-not-final-stage6a-boundary-only,Global/default config and query key factory cards.,IU-400,78143a8e93,11913.159,36488.031,558,482,L-107: Query key factories | L-115: performance structural sharing observers SELECT | L-103: global/default config
S-406,1,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-406,246e85f82c,11893.413,36985.808,869,482,L-115: performance structural sharing observers SELECT | L-107: Query key factories | L-121: msw
S-415,2,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-415,7f54e43053,11901.94,37453.965,905,426,L-115: performance structural sharing observers SELECT | L-107: Query key factories | L-121: msw
S-419,3,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-419,2736adf8b0,9687.7,37775.412,832,482,L-118: Testing | L-121: msw | L-115: performance structural sharing observers SELECT
S-426,4,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-426,0798cdbadb,11941.329,38324.409,844,374,L-115: performance structural sharing observers SELECT | L-121: msw | L-118: Testing
S-430,5,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-430,05b7498309,9654.395,38688.745,925,482,L-118: Testing | L-121: msw | L-115: performance structural sharing observers SELECT
S-431,6,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-431,c327c603e8,11947.834,38716.92,733,482,L-115: performance structural sharing observers SELECT | L-121: msw | L-118: Testing
S-441,7,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-441,d086ba0a5e,9662.067,39176.568,743,240,L-121: msw | L-118: Testing | L-115: performance structural sharing observers SELECT
S-443,8,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-443,0e6acb8429,11952.17,39225.808,880,482,L-121: msw | L-115: performance structural sharing observers SELECT | L-118: Testing
S-445,9,R19-testing-msw,R19,r19-testing-msw-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Testing, MSW, test helpers, and nearby performance/testing cards.",IU-445,a3a53e14ef,9627.4,39443.068,819,257,L-121: msw | L-118: Testing | L-115: performance structural sharing observers SELECT
S-427,1,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-427,f300d1e3f8,13453.747,38496.805,501,272,L-117: select | L-119: rerendering with/without select | L-120: select usage examples
S-432,2,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-432,f9d115e85c,13442.502,38796.741,613,360,L-119: rerendering with/without select | L-117: select | L-120: select usage examples
S-434,3,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-434,7af8af0e27,14519.703,38808.023,408,360,L-119: rerendering with/without select | L-120: select usage examples | L-117: select
S-435,4,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-435,2ff8c1ed2c,15834.033,38820.726,931,325,L-120: select usage examples | L-123: !!! | L-119: rerendering with/without select
S-439,5,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-439,f85216609d,15835.2,39155.366,902,471,L-120: select usage examples | L-123: !!! | L-119: rerendering with/without select
S-440,6,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-440,f45203256b,13447.424,39162.638,901,463,L-119: rerendering with/without select | L-117: select | L-124: memoizing selectors to avoid recomputation of select on every rerender
S-442,7,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-442,9d94722eb4,14521.562,39184.489,600,364,L-119: rerendering with/without select | L-120: select usage examples | L-117: select
S-449,8,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-449,c34c30d1ff,13452.348,39627.882,421,349,L-119: rerendering with/without select | L-124: memoizing selectors to avoid recomputation of select on every rerender | L-117: select
S-450,9,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-450,354cfa90ec,14533.048,39662.125,527,463,"L-119: rerendering with/without select | L-120: select usage examples | L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use..."
S-451,10,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-451,118de21a71,15813.271,39678.842,923,445,"L-123: !!! | L-120: select usage examples | L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use..."
S-453,11,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-453,69361022f8,11932.94,39714.798,923,451,L-124: memoizing selectors to avoid recomputation of select on every rerender | L-117: select | L-126: pure selectors
S-456,12,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-456,8c2777d94e,13443.399,39992.702,923,405,L-124: memoizing selectors to avoid recomputation of select on every rerender | L-119: rerendering with/without select | L-126: pure selectors
S-459,13,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-459,ec416766ce,14529.605,40138.908,899,463,"L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use... | L-123: !!! | L-124: memoizing selectors to avoid recomputation of select on every rerender"
S-460,14,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-460,d773e1a9ce,15827.49,40142.091,525,482,"L-123: !!! | L-120: select usage examples | L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use..."
S-462,15,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-462,18fbb6e056,13458.822,40401.535,566,334,"L-124: memoizing selectors to avoid recomputation of select on every rerender | L-126: pure selectors | L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use..."
S-466,16,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-466,dca612dbc2,15845.319,40589.485,497,258,"L-123: !!! | L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use... | L-120: select usage examples"
S-468,17,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-468,572bca185e,13491.528,40722.638,685,463,"L-124: memoizing selectors to avoid recomputation of select on every rerender | L-126: pure selectors | L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use..."
S-474,18,R20-select-performance-structural-sharing,R20,r20-select-performance-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"select, rerendering with/without select, selector memoization, pure selectors, structural sharing/performance.",IU-474,78182e8040,14896.713,41851.593,789,482,"L-125: so we dont memooize result with usecallback, we memoize the reference of the function, we can memoize result with use... | L-126: pure selectors | L-124: memoizing selectors to avoid recomputation of select on every rerender"
S-386,1,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-386,6ff5da2ed3,5755.552,34787.22,715,482,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-389,2,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-389,b6379df317,5748.895,35275.852,888,286,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-393,3,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-393,e91d3c5a46,5749.343,35600.553,788,482,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-396,4,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-396,ab518b8fb7,5751.252,36103.329,689,452,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-401,5,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-401,ed1ff3c24e,5759.514,36545.519,882,360,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-403,6,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-403,4d034f9fe0,5735.99,36908.376,750,480,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-414,7,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-414,86c00bd7de,5696.943,37393.805,950,412,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-416,8,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-416,3a4b17c0bd,8521.459,37590.218,721,470,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-420,9,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-420,95c0e9bb43,5710.829,37813.887,652,482,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-422,10,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-422,551b3e7039,8496.338,38071.4,827,424,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-423,11,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-423,5d5a0ccf6e,4195.171,38167.008,769,482,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-424,12,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-424,3be0fe3997,2975.583,38190.09,911,365,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-425,13,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-425,04afe6e8fc,5681.49,38301.506,627,482,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-428,14,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-428,57b6c5e673,8478.036,38509.949,718,482,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-429,15,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-429,64ae29536d,4199.989,38668.831,373,322,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-433,16,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-433,0ff4794c70,5692.848,38806.138,562,254,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-436,17,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-436,5b31422c36,4181.655,38990.331,523,469,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
S-437,18,R21-offline-cache-tail,R21,r21-offline-cache-tail-candidate-stage6a,candidate-not-final-stage6a-boundary-only,"Offline/cache tail around offlineFirst, retry queues, cache reads, removeQueries/resetQueries-nearby cards; needs visual transcript before final split.",IU-437,05397c5c1b,8457.879,38995.201,675,388,L-074: OFFLINE FIRST CAN TRY TO GET DATA UNTIL IT NEED RETRIES RETRIES WILL BE QUEUED CAN TRY TO GET DATA FROM CACHE | L-065: REMOVEQUERIES RESETQUERIES
