source_id,image_use_id,fileId_short,image_file,status,theme,visible_text,notes
S-319,IU-319,3dfb2e8474,S-319__3dfb2e8474.png,verified-visible-ocr-assisted,Common persistOptions fields are:,"Common persistOptions fields are:
*  persister — required storage adapter used to save/restore the cache. tsa
© maxAge — max allowed age of the persisted cache; older caches are silently discarded. Default is 24
hours. GD
* buster — version string to invalidate old persisted caches when app/data format changes. tsa
* hydrateOptions — options passed to hydrate during restore. tnsax
*  dehydrateOptions — options passed to dehydrate when saving. tens",Visible text present; no OCR timeout/error placeholder is used.
S-322,IU-322,764ec95080,S-322__764ec95080.png,verified-visible-manual-fix,PersistQueryClientProvider,"PersistQueryClientProvider

You declare it in React:

<PersistQueryClientProvider
  client={queryClient}
  persistOptions={{ persister, maxAge, buster }}
>
  <App />
</PersistQueryClientProvider>

This does the same kind of restore + subscribe flow, but with React-aware lifecycle handling. The docs specifically say it handles subscribing/unsubscribing properly and prevents race conditions where queries might start fetching before restore is done. During restore, queries stay `fetchStatus: 'idle'`.

So the answer is:

- same core persistence flow -> yes
- same implementation/lifecycle behavior details -> not exactly

Provider adds React-specific safety and convenience.",Manual visual read used because OCR timed out; source text is visible and not a placeholder.
S-323,IU-323,d360a7d007,S-323__d360a7d007.png,verified-visible-ocr-assisted,Your code sample translated to provider form,Your code sample translated to provider form,Visible text present; no OCR timeout/error placeholder is used.
S-324,IU-324,1fd1c39efc,S-324__1fd1c39efc.png,verified-visible-ocr-assisted,onSuccess?: () => Promise | unknown,"onSuccess?: () => Promise | unknown

This runs when the initial restore finishes. The docs explicitly say it can be used to
resumePausedMutations() . If it returns a Promise, that Promise is awaited, and restoring is considered
ongoing until it resolves. tnsace

This is the most important callback in practice.",Visible text present; no OCR timeout/error placeholder is used.
S-325,IU-325,733425f1da,S-325__733425f1da.png,verified-visible-ocr-assisted,This:,"This:
«> TypeScript oO
persistQueryClient({
queryClient,
persister,
maxAge: 1000 * 60 * 60 * 24,
buster: 'build-42',
dehydrateOptions: {
shouldDehydrateQuery: (query) => query.state.status === ‘success’,
shouldDehydrateMutation: (mutation) => mutation.state.isPaused,
Lb
hydrateOptions: {
defaultOptions: {
queries: {
staleTime: 60_000,
Lb
Lb
Lb
»
Vv",Visible text present; no OCR timeout/error placeholder is used.
S-330,IU-330,cfb7f31c32,S-330__cfb7f31c32.png,verified-visible-ocr-assisted,persistQueryClientRestore,"persistQueryClientRestore
Use this when you want to restore previously saved cache right now.
It:
* reads persisted state from the persister
* hydrates it into the QueryClient
«discards it if expired, busted, empty, or invalid tansaa
Example idea:
«> TypeScript oO
await persistQueryClientRestore({
queryClient,
persister,
buster: 'vi',
maxAge: 1000 * 60 * 60 * 24,
»
That means: “load saved cache into this client, unless it's too old or version-mismatched.”",Visible text present; no OCR timeout/error placeholder is used.
S-331,IU-331,679e04b899,S-331__679e04b899.png,verified-visible-ocr-assisted,What “dehydrate” means here,"What “dehydrate” means here
Dehydrate = convert the in-memory QueryClient state into a plain serializable object.
The hydration docs say dehydrate(queryClient, options) takes a QueryClient and optional
DehydrateOptions . Those options include:
© shouldDehydrateMutation
© shouldDehydrateQuery —tnstac -
Default dehydration behavior
By default:
+ only paused mutations are dehydrated
+ only successful queries are dehydrated tesa -
That is important:
* failed queries are not persisted by default
* active/non-paused mutations are not persisted by default",Visible text present; no OCR timeout/error placeholder is used.
S-332,IU-332,690055da26,S-332__690055da26.png,verified-visible-ocr-assisted,Example:,"Example:
«> TypeScript oO
<PersistQueryClientProvider
client={queryClient}
persistOptions={{ persister }}
onSuccess={() => queryClient.resumePausedMutations()}
>
<App />
</PersistQueryClientProvider>",Visible text present; no OCR timeout/error placeholder is used.
S-335,IU-335,702382414d,S-335__702382414d.png,verified-visible-ocr-assisted,Best mental model,"Best mental model

Manual

restore -> subscribe -> save on changes

Provider

mount provider -> restore safely before fetches -> run restore callbacks -> subscribe -> save on
changes

So the provider is basically the React-safe version of the same persistence flow. (tanstack.com a)",Visible text present; no OCR timeout/error placeholder is used.
S-336,IU-336,3089a18359,S-336__3089a18359.png,verified-visible-ocr-assisted,onError?: () => Promise | unknown,"onError?: () => Promise | unknown
This runs if an error is thrown during restoration. If it returns a Promise, that Promise is also awaited. —tenstack
Use it for:

«logging restore failures

*  dearing bad persisted data

* showing a message

* fallback recovery logic",Visible text present; no OCR timeout/error placeholder is used.
S-337,IU-337,ea74e9dd72,S-337__ea74e9dd72.png,verified-visible-manual-fix,1) Filtering with `meta`,"1) Filtering with `meta`

The idea is:

- add a flag like `meta: { persist: true }` on queries you consider worth restoring
- during dehydration, include only queries whose `query.meta.persist` is truthy

`useQuery` supports a `meta` option, and the docs say it stores additional information on the query cache entry that is accessible wherever the query is available, and is also part of the `QueryFunctionContext`.

`dehydrate` accepts `shouldDehydrateQuery` / `shouldDehydrateMutation` functions that are called for each query/mutation in the cache. By default, dehydration includes only successful queries and paused mutations.",Manual visual read used because OCR timed out; source text is visible and not a placeholder.
S-338,IU-338,9061540009,S-338__9061540009.png,verified-visible-ocr-assisted,becomes:,"becomes:
«> TypeScript oO
<PersistQueryClientProvider
client={queryClient}
persistOptions={{
persister,
maxAge: 1000 * 60 * 60 * 24,
buster: ""build-42',
dehydrateOptions: {
shouldDehydrateQuery: (query) => query.state.status === ‘success’,
shouldDehydrateMutation: (mutation) => mutation.state.isPaused,
Lb
hydrateOptions: {
defaultOptions: {
queries: {
staleTime: 60_000,
Lb
Lb
Lb
b
>
<App />
</PersistQueryClientProvider> V",Visible text present; no OCR timeout/error placeholder is used.
S-339,IU-339,a23fad7b1e,S-339__a23fad7b1e.png,verified-visible-ocr-assisted,persistQueryClientsubscribe,"persistQueryClientsubscribe
Use this when you want to keep storage updated automatically whenever the cache changes.
It:
* subscribes to cache changes
«keeps saving updates
* returns an unsubscribe function tensa
Example idea:
«> TypeScript oO
const unsubscribe = persistQueryClientSubscribe({
queryClient,
persister,
buster: 'vi',
»
That means: “from now on, whenever cache changes, keep persisting it.""",Visible text present; no OCR timeout/error placeholder is used.
S-341,IU-341,86f6c97ef9,S-341__86f6c97ef9.png,verified-visible-ocr-assisted,dehydrateOptions,"dehydrateOptions

These are options passed to dehydrate(...) when saving. The persistence docs say dehydrateOptions is
used for save/subscribe, not restore. tanstack «

Main useful fields:

shouldDehydratequery

A function (query) => boolean that decides which queries get included in the persisted state. By default,
only successful queries are included. tase",Visible text present; no OCR timeout/error placeholder is used.
S-342,IU-342,2256dc1fa3,S-342__2256dc1fa3.png,verified-visible-manual-fix,Related hook: `useIsRestoring`,"Related hook: `useIsRestoring`

If you use `PersistQueryClientProvider`, you can also use `useIsRestoring()` to check whether restore is currently happening. The docs note that `useQuery` and related hooks already use this internally to avoid restore race conditions.

Very important configuration note

The docs strongly recommend setting `gcTime` on the `QueryClient` high enough when using persistence. If you do not, it defaults to 5 minutes for hydration behavior, and the stored cache may be discarded earlier than your persistence `maxAge`. They recommend setting `gcTime` to the same as or higher than `maxAge`, or even `Infinity`.",Manual visual read used because OCR timed out; source text is visible and not a placeholder.
S-343,IU-343,1bd326b2ca,S-343__1bd326b2ca.png,verified-visible-ocr-assisted,Where can you access meta?,"Where can you access meta?
You can access it in two common places:
A. In the query function
> TypeScript
useQuery({
queryKey: ['posts'],
queryFn: ({ meta }) => fetchPosts({ persist: meta?.persist === true }),
meta: { persist: true },
3)
meta is part of the QueryFunctionContext .  tnsack",Visible text present; no OCR timeout/error placeholder is used.
S-344,IU-344,d3a05c5900,S-344__d3a05c5900.png,verified-visible-ocr-assisted,Example:,"Example:
«> TypeScript oO
dehydrateOptions: {

shouldDehydrateQuery: (query) => query.queryKey[0] !== ‘debug*
3
Meaning:
© persist all successful queries except [""debug*, .--]
shouldDehydrateMutation
A function (mutation) => boolean that decides which mutations get included. By default, only paused
mutations are included. tanstac.",Visible text present; no OCR timeout/error placeholder is used.
S-346,IU-346,9ebc794e08,S-346__9ebc794e08.png,verified-visible-ocr-assisted,So how are these usually used?,"So how are these usually used?
Manual usage
If you want full control, the usual flow is:
«> TypeScript oO
await persistQueryClientRestore({ queryClient, persister, buster: 'v1' })
const unsubscribe = persistQueryClientSubscribe({
queryClient,
persister,
buster: 'vi',
»
Optionally you can call persistQueryClientSave(...) manually at specific times too. tanstac",Visible text present; no OCR timeout/error placeholder is used.
S-347,IU-347,90d6081ffb,S-347__90d6081ffb.png,verified-visible-ocr-assisted,Minimal example,"Minimal example
«> TypeScript ¢
import { QueryClient } from '@tanstack/react-query'
import { PersistQueryClientProvider } from '@tanstack/react-query-persist-client'
import { createSyncStoragePersister } from '@tanstack/query-sync-storage-persister'
const queryClient = new QueryClient({
defaultOptions: {
queries: {
gcTime: 1000 * 60 * 60 * 24,
hb
Lb
»
const persister = createSyncStoragePersister({
storage: window. localStorage,
»",Visible text present; no OCR timeout/error placeholder is used.
S-348,IU-348,fadc3b9506,S-348__fadc3b9506.png,verified-visible-ocr-assisted,B. In dehydration filters,"B. In dehydration filters
shouldDehydrateQuery receives the Query object, so you can inspect query-meta .

«> TypeScript oO

dehydrate(queryClient, {

shouldDehydrateQuery: (query) =>
query.state.status === 'success' && query.meta?.persist === true,

»

shouldDehydrateQuery is part of DehydrateOptions , and the function is called for each query in the cache.
Tanta +",Visible text present; no OCR timeout/error placeholder is used.
S-349,IU-349,8d02dc1462,S-349__8d02dc1462.png,verified-visible-ocr-assisted,Example:,"Example:

«> TypeScript

dehydrateOptions: {

shouldDehydrateMutation: (mutation) => true

3
Meaning:
* persist all mutations, not just paused ones
So dehydrateOptions lets you control what gets saved.",Visible text present; no OCR timeout/error placeholder is used.
S-351,IU-351,68590cce0c,S-351__68590cce0c.png,verified-visible-ocr-assisted,React usage,"React usage

In React apps, you usually do not wire these manually.

Instead you use PersistQueryClientProvider , which handles restore + subscription lifecycle safely for you.
Tanta

So:
* manual utilities = lower-level building blocks
© PersistQueryClientProvider = React-friendly wrapper around that behavior",Visible text present; no OCR timeout/error placeholder is used.
S-352,IU-352,9421dfc650,S-352__9421dfc650.png,verified-visible-ocr-assisted,What “hydrate” means here,"What “hydrate” means here
Hydrate = take previously dehydrated state and merge/restore it into a QueryClient .
The hydration docs say hydrate(client, dehydratedState, options) restores the state into the client.
Taniack
)",Visible text present; no OCR timeout/error placeholder is used.
S-353,IU-353,bfdd0bf48e,S-353__bfdd0bf48e.png,verified-visible-ocr-assisted,function Root() {,"function Root() {
return (
<PersistQueryClientProvider
client={queryClient}
persistOptions={{
persister,
maxAge: 1000 * 60 * 60 * 24,
buster: ‘v1',
aaa
onSuccess={() => {
queryClient.resumePausedMutations()
aaa
onError={() => {
console.error('Failed to restore persisted query cache"")
aaa
>
<App />
</PersistQueryClientProvider>
)
3",Visible text present; no OCR timeout/error placeholder is used.
S-355,IU-355,263a9816d7,S-355__263a9816d7.png,verified-visible-ocr-assisted,hydrateOptions,"hydrateOptions
These are options passed to hydrate(...) during restore. The persistence docs say hydrateOptions is used
on restore, not save. Tanstack +
From the hydration docs, HydrateOptions includes:
defaultoptions
Defaults to use for the hydrated entries:
© mutations: MutationOptions
* queries: QueryOptions tans
Example:",Visible text present; no OCR timeout/error placeholder is used.
S-356,IU-356,fbc8550138,S-356__fbc8550138.png,verified-visible-ocr-assisted,4) What about pruning?,"4) What about pruning?
This part is more app-specific.
The persistence docs give you:
* selective dehydration via dehydrateOptions
© restore/discard controls via maxAge and buster
© apersister API with persistClient, restoreClient , and removeClient() — tmnsax -2
What they do not give you is a built-in “automatic localStorage LRU pruning strategy” in the standard
persistence API. That means pruning is usually something you implement yourself, either by:
* persisting less in the first place
* shortening maxAge
© dlearing invalid/outdated persisted state with buster
* or building a custom persister / save strategy. This last part is an inference from the documented API
surface. tnstack +2",Visible text present; no OCR timeout/error placeholder is used.
S-357,IU-357,95626c5870,S-357__95626c5870.png,verified-visible-ocr-assisted,Best mental model,"Best mental model
© Persistence = save the cache somewhere durable.
* Restore = load that saved cache back into QueryClient.
© PersistQueryClientProvider = React wrapper that restores safely, keeps saving updates, and exposes
onSuccess / onError around the restore step. tess:",Visible text present; no OCR timeout/error placeholder is used.
S-359,IU-359,56684bf115,S-359__56684bf115.png,verified-visible-ocr-assisted,«> TypeScript oO,"«> TypeScript oO
hydrateOptions: {
defaultOptions: {
queries: {
retry: @,
staleTime: 60_000,
Lb
mutations: {
retry: 1,
Lb
Lb
3
Meaning:
when restoring persisted queries/mutations, apply these default options to them
So hydrateOptions lets you control how restored cache entries behave after restore.",Visible text present; no OCR timeout/error placeholder is used.
S-360,IU-360,7c337054a4,S-360__7c337054a4.png,verified-visible-ocr-assisted,The simplest pruning strategy,"The simplest pruning strategy
Do not persist most queries.
Good candidates to persist:
* user profile
app settings
*  static-ish reference data
© lists that are expensive but useful to restore
Bad candidates to persist:
«live notifications
* fast-changing feeds
* temporary search results
© giant paginated/infinite lists
That recommendation is an app-design inference, but it follows directly from the docs’ selective dehydration
hooks and storage constraints implied by browser storage use. tans -",Visible text present; no OCR timeout/error placeholder is used.
S-361,IU-361,3071354b39,S-361__3071354b39.png,verified-visible-ocr-assisted,What buster is,"What buster is
buster is a version string that lets you force-invalidate old persisted caches.
The docs say if the restored cache does not have the same buster string, it is discarded. They also call this
“busted.” — tanstack
This is useful when:
* your API shape changed
* your cached data format changed
* you released a new app version and old persisted cache should no longer be trusted
Example:
«> TypeScript ia)
persistQueryClient ({
queryClient,
persister,
buster: ‘v2',
»",Visible text present; no OCR timeout/error placeholder is used.
S-362,IU-362,e22d38f470,S-362__e22d38f470.png,verified-visible-ocr-assisted,33.3 Selective persistence,"33.3 Selective persistence
Do not persist everything blindly.
Some data may be:
* sensitive
* too large
* too short-lived
* not useful after restore
One approach is metadata-based filtering.",Visible text present; no OCR timeout/error placeholder is used.
S-364,IU-364,bca292ecfa,S-364__bca292ecfa.png,verified-visible-ocr-assisted,5) Example: manual selective pruning by age/key before saving,"5) Example: manual selective pruning by age/key before saving
You can go beyond meta.persist and skip large/old queries:
«> TypeScript oO
<PersistQueryClientProvider
client={queryClient}
persistOptions={{
persister,
maxAge: 1000 * 60 * 60 * 24,
dehydrateOptions: {
shouldDehydrateQuery: (query) => {
const persist = query.meta?.persist === true
const isSuccess = query.state.status === ‘success’
const isOld =
Date.now() - query.state.dataUpdatedAt > 1000 * 60 * 60 * 6",Visible text present; no OCR timeout/error placeholder is used.
S-365,IU-365,e6b95e6f80,S-365__e6b95e6f80.png,verified-visible-ocr-assisted,«> TypeScript {,"«> TypeScript {
useQuery({
queryKey: ['posts'],
queryFn: fetchPosts,
meta: { persist: true },
»
Then filter during dehydration based on meta-persist .
A good rule: persist only successful queries that are worth restoring.",Visible text present; no OCR timeout/error placeholder is used.
S-367,IU-367,ac35ac2f49,S-367__ac35ac2f49.png,verified-visible-ocr-assisted,Yes — ‘buster is usually a stable string that you change intentionally when you want to in,"Yes — ‘buster is usually a stable string that you change intentionally when you want to invalidate old
persisted cache.
A good way to think about it is:
* keep it constant across normal app runs
+ change it when your persisted data should no longer be trusted
Typical times to change it:
* you changed cache/data shape
* you changed query keys in a breaking way
* you released a new app version and want to throw away old persisted cache
* you fixed a bug that made old persisted state unsafe to restore
TanStack says that if the persisted cache’s buster does not match the current one, the cache is discarded.
stadt",Visible text present; no OCR timeout/error placeholder is used.
S-368,IU-368,1ce1907fd2,S-368__1ce1907fd2.png,verified-visible-ocr-assisted,ee NE ON AN ONO II IIE EO III III OEE,"ee NE ON AN ONO II IIE EO III III OEE
// only persist successful, explicitly flagged, not-too-old queries
return persist && isSuccess && !isOld
Lb
Lb
b
>
<App />
</PersistQueryClientProvider>
This works because shouldDehydrateQuery runs per query, and the query object includes state and meta.
Tenstack +1",Visible text present; no OCR timeout/error placeholder is used.
S-369,IU-369,ea0f7aeaea,S-369__ea0f7aeaea.png,verified-visible-ocr-assisted,33.4 Storage quota issues,"33.4 Storage quota issues
Local storage is limited.
If you persist too much, writes can fail.
A practical strategy is evicting older queries first.
General rule:
* persistence is not infinite storage
* be selective
* prune aggressively when needed",Visible text present; no OCR timeout/error placeholder is used.
S-371,IU-371,66852e288e,S-371__66852e288e.png,verified-visible-ocr-assisted,Yes. query.state.dataUpdatedat is a built-in timestamp in TanStack Query’s query state. Th,"Yes. query.state.dataUpdatedat is a built-in timestamp in TanStack Query’s query state. The docs list
dataUpdatedAt ON useQuery results as “the timestamp for when the query most recently returned the
status aS success .” It is also available via queryClient .getQueryState(...) , which returns the query state

object.

So in a dehydration filter like:

«> TypeScript oO
shouldDehydrateQuery: (query) => {
const isOld =
Date.now() - query.state.dataUpdatedAt > 1000 * 60 * 60 * 6
return query.meta?.persist === true && !isOld
3",Visible text present; no OCR timeout/error placeholder is used.
S-372,IU-372,9593d49fda,S-372__9593d49fda.png,verified-visible-ocr-assisted,"So yes, something like this is normal:","So yes, something like this is normal:
«> TypeScript fa)
const PERSIST_BUSTER = ‘v1""

and later:
«> TypeScript fa)
const PERSIST_BUSTER = ‘v2""

when you want a clean break.",Visible text present; no OCR timeout/error placeholder is used.
S-374,IU-374,5cdaec07b5,S-374__5cdaec07b5.png,verified-visible-ocr-assisted,query.state.dataUpdatedAt is not something custom you invented — it is part of the built-i,"query.state.dataUpdatedAt is not something custom you invented — it is part of the built-in query state.
What it means:

* when a query successfully gets data, TanStack Query updates dataUpdatedat

* you can use it to estimate how old the cached data is

+ that makes it useful for selective persistence, manual pruning rules, or debugging freshness.
Related built-in timestamps/state you may also see:

© errorUpdatedAt

© status

© fetchStatus

* data

© error
So the short answer is: yes, dataUpdatedAt is built ir v",Visible text present; no OCR timeout/error placeholder is used.
