source_id,image_use_id,fileId_short,image_file,status,theme,text,code,notes
S-354,IU-354,0a82c038b6,S-354__0a82c038b6.png,verified-visible,Suspense does not replace error handling,"5. Suspense does not replace error handling by itself

Suspense handles loading, not normal error UI.

For query errors, use an Error Boundary.","import { ErrorBoundary } from 'react-error-boundary'
import { Suspense } from 'react'

function Repos() {
  const { data } = useSuspenseQuery({
    queryKey: ['repos'],
    queryFn: fetchRepos,
  })

  return (
    <ul>
      {data.map((repo) => (
        <li key={repo.id}>{repo.name}</li>
      ))}
    </ul>
  )
}",Top part readable; continuation in S-358.
S-358,IU-358,e1ac560b26,S-358__e1ac560b26.png,verified-visible,ErrorBoundary plus Suspense pair,"Typical pair:

- Suspense → loading
- ErrorBoundary → errors","export default function Page() {
  return (
    <ErrorBoundary fallback={<div>Could not load repos</div>}>
      <Suspense fallback={<div>Loading repos...</div>}>
        <Repos />
      </Suspense>
    </ErrorBoundary>
  )
}",Continuation of S-354; lower bullet partly cropped but meaning readable.
S-363,IU-363,283c1bb2a3,S-363__283c1bb2a3.png,verified-visible,useSuspenseQuery does not support enabled,"6. Why `useSuspenseQuery` does not support `enabled`

With normal `useQuery`, you can say:

This means: define the query, but do not run it until `id` exists.","useQuery({
  queryKey: ['user', id],
  queryFn: () => fetchUser(id),
  enabled: !!id,
})",Readable.
S-366,IU-366,c74ee8553b,S-366__c74ee8553b.png,verified-visible,disabled-but-not-running suspense query does not fit Suspense state model,"With `useSuspenseQuery`, that pattern does not fit well, because Suspense expects the hook either to:

- have data
- suspend
- throw an error

A disabled-but-not-running suspense query would create an awkward state: it is neither ready nor really loading in the Suspense sense.

So `useSuspenseQuery` simply does not support `enabled`.",,Readable.
S-370,IU-370,d3572dccdb,S-370__d3572dccdb.png,verified-visible,instead of enabled move condition outside Suspense hook,"7. What to do instead of `enabled`

You usually move the condition outside the suspense hook.

Example: conditional rendering

Instead of this","function User({ id }: { id?: string }) {
  const { data } = useSuspenseQuery({
    queryKey: ['user', id],
    queryFn: () => fetchUser(id!),
    // enabled: !!id  ❌ not supported
  })

  return <div>{data.name}</div>
}",Readable.
S-373,IU-373,7f5fd03cda,S-373__7f5fd03cda.png,verified-visible,conditional render wrapper around Suspense child,Do this,"function User({ id }: { id?: string }) {
  if (!id) return <div>Select a user</div>

  return (
    <Suspense fallback={<div>Loading user...</div>}>
      <UserContent id={id} />
    </Suspense>
  )
}",Readable.
S-375,IU-375,a5b18d2c3b,S-375__a5b18d2c3b.png,verified-visible,condition decides whether suspense-query component exists,"The condition decides whether the suspense-query component exists at all.

That is the main replacement for `enabled`.","function UserContent({ id }: { id: string }) {
  const { data } = useSuspenseQuery({
    queryKey: ['user', id],
    queryFn: () => fetchUser(id),
  })

  return <div>{data.name}</div>
}",Continuation of S-373; readable.
S-377,IU-377,5f7ffd16a1,S-377__5f7ffd16a1.png,verified-visible,serial behavior in one component,"8. Serial behavior in one component

This is one of the biggest Suspense gotchas.

Example.

This looks like two queries in one component.","function Dashboard() {
  const { data: user } = useSuspenseQuery({
    queryKey: ['user'],
    queryFn: fetchUser,
  })

  const { data: repos } = useSuspenseQuery({
    queryKey: ['repos'],
    queryFn: fetchRepos,
  })

  return (
    <>
      <h1>{user.name}</h1>
      <div>{repos.length} repos</div>
    </>
  )
}",Readable.
S-380,IU-380,11664458c2,S-380__11664458c2.png,verified-visible,two Suspense queries in one component often behave serially,"But what usually happens is:

1. render starts
2. first query (`user`) suspends
3. render stops there
4. second query (`repos`) is not reached yet
5. when `user` resolves, React retries render
6. now it reaches `repos`
7. `repos` suspends
8. another wait happens

So they often behave serially.

That is slower than normal parallel fetching.",,Readable.
S-382,IU-382,9b1e04f8ba,S-382__9b1e04f8ba.png,verified-visible,timeline: Suspense serial vs parallel non-suspense queries,"Timeline

In one component with Suspense

- start render
- user query suspends
- wait
- rerender
- repos query suspends
- wait
- rerender
- final UI

With parallel non-suspense queries

Both requests can start in the same render cycle.",,Readable.
