use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status,transcript_file,authoritative_transcript
IU-015,image-6fd4f6e8b6f5903d2136cc5395e8028bf728d55e,1575a266b85d.png,1575a266b85d,R02,4084.2537089882426,4781.45448744091,650.0,482.0,1.0,,T-043|T-042|T-041,numbers|or their count and can collect distinct combinations in hashtable - we can just compare|pattern : if there is a situation when we can have all needed combinations,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-016,image-d0ccb5eca11cd300587b7784ec18639e2e1b3420,f0d2505b6c78.png,f0d2505b6c78,R02,5158.015781951314,4815.417841230484,536.0,358.0,1.0,,T-045|T-044|T-039,what is inside of hashset|could have come to this solution here|so here we can avoid,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-017,image-b6180744ecb93cdd54979fdf7c410e6c0839f098,d787d2a260f3.png,d787d2a260f3,R02,3767.012812146739,4916.917847628344,287.0,92.0,1.0,,T-043|T-042|T-041,numbers|or their count and can collect distinct combinations in hashtable - we can just compare|pattern : if there is a situation when we can have all needed combinations,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-018,image-41877fb3841acfb60f1b65f003b4b16c28a29785,280afed3d94e.png,280afed3d94e,R04,4054.127775998338,5950.570645434822,922.0,482.0,1.0,,T-056|T-046|T-047,WE DO THIS BECAUSE WE HAVE ARRAY OF CHARS HERE (STRING)|WITH BITS|SHIFT BY ONE TO <<,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-019,image-ba01396c39cc39bc1be1762b4e2c0b600c49b809,ec50da0fcb88.png,ec50da0fcb88,R04,4075.277601893695,5559.137852005329,800.0,374.0,1.0,,T-046|T-056|T-040,WITH BITS|WE DO THIS BECAUSE WE HAVE ARRAY OF CHARS HERE (STRING)|further processing,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-020,image-5197fee3650dc8c3f726334797dfcaba5e5ae8f3,0b6190fe28c4.png,0b6190fe28c4,R04,3402.458121248508,5628.640582795788,602.0,435.0,1.0,,T-047|T-048|T-049,SHIFT BY ONE TO <<|001 << 1|010,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-021,image-4993dd04d4d0f7c57a8c47455a06709400a3deb8,c309b118f793.png,c309b118f793,R04,3396.7378890036625,6822.340341897173,662.0,264.0,1.0,,T-053|T-054|T-055,1101 & 0111 (111)|101|SO WE HAVE SLIDING WINDOW,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-022,image-813075b5ff2e474352962d099ec90f8d0e3642cd,ee24a8579674.png,ee24a8579674,R04,3381.5946242872265,6525.44974634117,673.0,271.0,1.0,,T-052|T-051|T-050,011|010 | S[I] WHERE S[I]==1|ADD BIT,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-023,image-24aec67ed28fec51a5763fbb026594a4333d1c3d,9d71872566a6.png,9d71872566a6,R03,2368.7084523816848,6784.701173707473,850.0,376.0,1.0,,T-053|T-054|T-055,1101 & 0111 (111)|101|SO WE HAVE SLIDING WINDOW,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-024,image-631e116733e8303728b7295980d0c74913bcb40b,40e93ac94abf.png,40e93ac94abf,R04,5442.959718136234,6413.148837534048,655.0,482.0,1.0,,T-056|T-045|T-040,WE DO THIS BECAUSE WE HAVE ARRAY OF CHARS HERE (STRING)|what is inside of hashset|further processing,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-025,image-8c0d0501ea3ef8eb73c338bc25a00ae14b9c8ff5,47dc1d591910.png,47dc1d591910,R02,5375.930033164646,5621.851265089246,789.0,340.0,1.0,,T-045|T-056|T-040,what is inside of hashset|WE DO THIS BECAUSE WE HAVE ARRAY OF CHARS HERE (STRING)|further processing,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-026,image-a5653566ff95a0513d4b828d2446dc1868dbdb33,8baf7f12b86c.png,8baf7f12b86c,R02,5375.815212188398,5981.570243898873,717.0,360.0,1.0,,T-056|T-045|T-040,WE DO THIS BECAUSE WE HAVE ARRAY OF CHARS HERE (STRING)|what is inside of hashset|further processing,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-027,image-8b3e664fbf249b744a1799e4444a7931756d5f93,d24b4749c616.png,d24b4749c616,R05,5442.3984670488935,6956.2922670049165,606.0,482.0,1.0,,T-070|T-061|T-062,1 << 0 by the way is 01|need mask need -1 so we can add|new bit and get needed length,closed,05-transcript-R05-mask-construction-and-fixed-width-bit-window.md,06-full-combined-final-transcript.md
IU-028,image-662c62782ee38a92a1ddea6a7d641ce45b50d741,5d3ecd411ba2.png,5d3ecd411ba2,R02,5013.654698385583,5256.394040146001,452.0,251.0,1.0,,T-056|T-040|T-039,WE DO THIS BECAUSE WE HAVE ARRAY OF CHARS HERE (STRING)|further processing|so here we can avoid,closed,02-transcript-R02-reducing-the-problem-to-counts-and-distinct-windows.md,06-full-combined-final-transcript.md
IU-029,image-77b9f38e8e762540247df6268eb9cdd35d023d38,fc87e54d9225.png,fc87e54d9225,R04,2691.3122713525554,5652.1103123523135,644.0,170.0,1.0,,T-047|T-048|T-049,SHIFT BY ONE TO <<|001 << 1|010,closed,04-transcript-R04-bitwise-sliding-window-encoding.md,06-full-combined-final-transcript.md
IU-030,image-5a21ab11518caaf14b684efb9837686d878540ba,ebeeff1b01cb.png,ebeeff1b01cb,R03,1124.3853443868065,8651.258115609562,845.0,366.0,1.0,,T-069|T-068|T-067,with 5 11111 -1 = 01111|with 4 1111 -1 = 0111|and its true for every count of pushes,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-031,image-7fe32678a1423ed23c3e24a6638fea5e5a2e27d6,1777785a198b.png,1777785a198b,R03,1163.922301173916,8110.721140172822,802.0,465.0,1.0,,T-064|T-065|T-066,so when we need to keep 3 bits window|we put 1 3 times and then we do -1|so 111 will be 011,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-032,image-fd607dcccb8d58edc98ed4884050a24bfb00c762,128d1e9b5e3b.png,128d1e9b5e3b,R03,1100.7556751973534,7690.221018102509,827.0,362.0,1.0,,T-055|T-054|T-053,SO WE HAVE SLIDING WINDOW|101|1101 & 0111 (111),closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-033,image-04e58c0152a758dfa5ca9c340f0e53a6e08c66bf,9c265f03779b.png,9c265f03779b,R03,1093.2103448085945,7201.731516149384,792.0,482.0,1.0,,T-055|T-054|T-053,SO WE HAVE SLIDING WINDOW|101|1101 & 0111 (111),closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-034,image-71c0934ef341461906c5ca27285ba7d5b17189aa,4225a9f69ecc.png,4225a9f69ecc,R03,1046.8349620451504,6811.078205282801,833.0,408.0,1.0,,T-055|T-053|T-054,SO WE HAVE SLIDING WINDOW|1101 & 0111 (111)|101,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-035,image-208ee5f649db526f14890949c08604016e005e69,90e99ba2823c.png,90e99ba2823c,R03,1036.8578153980907,6343.8746639451565,837.0,451.0,1.0,,T-058|T-057|T-049,to check occurencies|array of bools vs hashset|010,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-036,image-58d828bbf8d5fea3cef48ed66c251e2809164824,3107077af716.png,3107077af716,R03,1045.333089846804,5899.021053112359,705.0,430.0,1.0,,T-058|T-057|T-048,to check occurencies|array of bools vs hashset|001 << 1,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-037,image-0a57b4fbed7bf6923b4eea5d827073406fb583db,a44f9f2339ee.png,a44f9f2339ee,R03,1012.0937355957931,5454.259133818274,713.0,430.0,1.0,,T-058|T-057|T-047,to check occurencies|array of bools vs hashset|SHIFT BY ONE TO <<,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-038,image-4d4af1bb00c694767c943ceab6013a1dad85711f,8a64d78a0ae3.png,8a64d78a0ae3,R03,74.85380116959095,5379.110605514167,686.0,334.0,1.0,,T-058|T-057|T-048,to check occurencies|array of bools vs hashset|001 << 1,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-039,image-abd4f7815346476eecfb44535d0c909f8b364a01,d9d0dbe3dc79.png,d9d0dbe3dc79,R03,10.0,5722.2587649651205,810.0,334.0,1.0,,T-058|T-057|T-048,to check occurencies|array of bools vs hashset|001 << 1,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-040,image-74fbce59b16c406ed77e5b0eef1cffad6476897c,05f693af535e.png,05f693af535e,R03,83.65784531888585,6069.666194978144,437.0,334.0,1.0,,T-058|T-057|T-048,to check occurencies|array of bools vs hashset|001 << 1,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-041,image-12b445caad376175ac9a3b326f568abcac5b78d0,41143079c409.png,41143079c409,R03,81.01815090091623,6406.703243317988,431.0,334.0,1.0,,T-058|T-057|T-049,to check occurencies|array of bools vs hashset|010,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-042,image-818f0e4fc885e499d22bb7d324b0a89ec1d34316,a5a3d8a30d46.png,a5a3d8a30d46,R03,77.3246079636474,6760.0365766513205,462.0,334.0,1.0,,T-058|T-057|T-049,to check occurencies|array of bools vs hashset|010,closed,03-transcript-R03-boolean-array-versus-hashset-occurrence-tracking.md,06-full-combined-final-transcript.md
IU-043,image-ba01396c39cc39bc1be1762b4e2c0b600c49b809,ec50da0fcb88.png,ec50da0fcb88,R05,3992.121049972182,8344.40856647868,803.0,375.0,1.0,IU-019,T-061|T-062|T-070,need mask need -1 so we can add|new bit and get needed length|1 << 0 by the way is 01,closed,05-transcript-R05-mask-construction-and-fixed-width-bit-window.md,06-full-combined-final-transcript.md
IU-044,image-41877fb3841acfb60f1b65f003b4b16c28a29785,280afed3d94e.png,280afed3d94e,R05,3976.321487772383,8720.801055104792,926.0,484.0,1.0,IU-018,T-062|T-061|T-063,new bit and get needed length|need mask need -1 so we can add|classic convertion to int from char,closed,05-transcript-R05-mask-construction-and-fixed-width-bit-window.md,06-full-combined-final-transcript.md
