source_id,image_use_id,fileId_short,x,y,width,height,candidate_region,candidate_region_name,candidate_subregion,decision,decision_is_final,must_recheck_before_region_close,reason,nearest_labels_for_search_only
S-001,IU-001,2cb5ff4461,0.0,0.0,943.0,125.0,SRM01,Finite server resources and bottleneck categories,SRM01A,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.",T-001:what limited resources the | T-020:about microservices | T-016:shit it can process in s across all requests | T-013:addding another machine | T-017:cpus can process one work at a time
S-012,IU-012,a01342a1c2,0.0,0.0,919.0,273.0,SRM01,Finite server resources and bottleneck categories,SRM01B,candidate-for-srm01-transcript,no-boundary-review-only,yes,"CPU, memory, bandwidth, sockets, threads, disk, database pools, OS limits, TLS and application-specific pools.","T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap"
S-013,IU-013,a189bedf87,0.0,0.0,782.0,482.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-014,IU-014,c0160f4fdc,0.0,0.0,920.0,348.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-002:server does have to server requests | T-019:a little bit here a little bit there | T-014:is it microservices | T-003:cpu | T-004:memory
S-015,IU-015,12839caf02,0.0,0.0,837.0,404.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-016,IU-016,17cc77d938,0.0,0.0,942.0,308.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.","T-019:a little bit here a little bit there | T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets"
S-017,IU-017,3015663796,0.0,0.0,823.0,378.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-002:server does have to server requests | T-014:is it microservices | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-018,IU-018,f8338d12a5,0.0,0.0,787.0,238.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.","T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap"
S-019,IU-019,04a09c097e,0.0,0.0,1007.0,398.0,SRM02,"Request budgets, concurrency and saturation",SRM02A,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-020,IU-020,c82ad6e67d,0.0,0.0,775.0,475.0,SRM02,"Request budgets, concurrency and saturation",SRM02B,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-021,IU-021,6ab22efcc2,0.0,0.0,898.0,482.0,SRM02,"Request budgets, concurrency and saturation",SRM02B,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-022,IU-022,8c75176445,0.0,0.0,943.0,430.0,SRM02,"Request budgets, concurrency and saturation",SRM02B,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-023,IU-023,c596c80579,0.0,0.0,955.0,460.0,SRM02,"Request budgets, concurrency and saturation",SRM02B,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-024,IU-024,aa23a4140f,0.0,0.0,843.0,292.0,SRM02,"Request budgets, concurrency and saturation",SRM02B,candidate-for-srm02-transcript,no-boundary-review-only,yes,"Finite work budgets across requests, CPU time sharing, throughput, saturation and why one server handles many concurrent requests.","T-019:a little bit here a little bit there | T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets"
S-025,IU-025,b0676b4edc,0.0,0.0,798.0,482.0,SRM03,"Scale up, scale out and microservices distinction",SRM03A,candidate-for-srm03-transcript,no-boundary-review-only,yes,"Adding machines, load balancing and distributed-system concerns versus decomposing a monolith into microservices.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-026,IU-026,4cbe3f8eb7,0.0,0.0,852.0,482.0,SRM03,"Scale up, scale out and microservices distinction",SRM03A,candidate-for-srm03-transcript,no-boundary-review-only,yes,"Adding machines, load balancing and distributed-system concerns versus decomposing a monolith into microservices.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-027,IU-027,93e00ecca6,0.0,0.0,935.0,392.0,SRM03,"Scale up, scale out and microservices distinction",SRM03A,candidate-for-srm03-transcript,no-boundary-review-only,yes,"Adding machines, load balancing and distributed-system concerns versus decomposing a monolith into microservices.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-028,IU-028,4bbd0d2682,0.0,0.0,908.0,393.0,SRM03,"Scale up, scale out and microservices distinction",SRM03A,candidate-for-srm03-transcript,no-boundary-review-only,yes,"Adding machines, load balancing and distributed-system concerns versus decomposing a monolith into microservices.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
S-029,IU-029,098f4323cd,0.0,0.0,938.0,230.0,SRM03,"Scale up, scale out and microservices distinction",SRM03B,candidate-for-srm03-transcript,no-boundary-review-only,yes,"Adding machines, load balancing and distributed-system concerns versus decomposing a monolith into microservices.","T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap"
S-030,IU-030,753288333c,0.0,0.0,945.0,426.0,SRM03,"Scale up, scale out and microservices distinction",SRM03B,candidate-for-srm03-transcript,no-boundary-review-only,yes,"Adding machines, load balancing and distributed-system concerns versus decomposing a monolith into microservices.",T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory
