use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-017,image-4548283f9082f8abcb71ef96f503874f9fa1e3d0,d26f98d45f6e.png,d26f98d45f6e,R04,7101.179841079813,905.5717731220439,768.0,451.0,1.0,,T-007|T-006|T-005,hidden backing fields|problems with ll and|evr ok if configured nav prorp,pending_transcript
IU-018,image-efe1d70e6d1b5b7c6e9586ca6555037f95cce710,ad63799938a0.png,ad63799938a0,R04,7097.068797785542,1399.6272947691768,554.0,174.0,1.0,,T-007|T-006|T-005,hidden backing fields|problems with ll and|evr ok if configured nav prorp,pending_transcript
IU-019,image-2c720f2ed7496cea1aa37e9a0c43166c9458af14,ed1165ba1070.png,ed1165ba1070,R04,7056.84650774648,1614.6272947691768,970.0,464.0,1.0,,T-007|T-006|T-005,hidden backing fields|problems with ll and|evr ok if configured nav prorp,pending_transcript
IU-020,image-beccbd69abcba224b0795a6606fb033ab1b7e4ea,a64930c575e3.png,a64930c575e3,R04,7056.457652766011,2080.2384397887045,893.0,335.0,1.0,,T-005|T-007|T-006,evr ok if configured nav prorp|hidden backing fields|problems with ll and,pending_transcript
IU-021,image-a25f5396700b0b2fd6979f4e699d3f032acfe7aa,e9ad01545ef1.png,e9ad01545ef1,R04,7054.957652766011,2412.7384397887045,656.0,230.0,1.0,,T-005|T-007|T-006,evr ok if configured nav prorp|hidden backing fields|problems with ll and,pending_transcript
IU-022,image-bc357183d3c13f0237a11cc78e789e1925b81608,9adacfc2bec1.png,9adacfc2bec1,R01,271.46735249206995,1620.9714385353573,963.0,393.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-023,image-c038d2655ba88ce096be670b49b3f0c93ac669cc,219ade0ec576.png,219ade0ec576,R01,298.5691479389725,1117.5606679094972,735.0,482.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-024,image-7d9427432fb714a10b8542bc90d6d7ffc6bfc7f8,4ecd00fd1c92.png,4ecd00fd1c92,R01,235.96276209576263,2617.258675801163,819.0,463.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-025,image-8a0e4d1d8917edcfd0167ffdf2d3af71afdd906e,2532712c8ee3.png,2532712c8ee3,R01,276.00651217636005,2101.4892865752763,711.0,463.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-026,image-f542f606f7ddca7a6ea18e6cc9f1ca6b4e3f0e84,bd6175f03a22.png,bd6175f03a22,R01,197.32647884249855,3618.1851425381583,801.0,482.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-027,image-c596837a0a7e0cd68fd24d7a4f995ef306219bdb,e427662ad379.png,e427662ad379,R01,141.02178831774745,3208.50786592683,908.0,367.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-028,image-da9c95cf8663dc3a30f633ebb5fd908ce26cc8f0,cabeacb2ba21.png,cabeacb2ba21,R01,113.65816860006271,4183.614028258152,1010.0,278.0,1.0,,T-004|T-003|T-002,"and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory|normal query for one roundtrip or for 2",pending_transcript
IU-029,image-62f9d9590f15c32bc245d69fa282f287849bd7fa,881edc15431a.png,881edc15431a,R01,161.82479457662612,4485.983434689938,863.0,226.0,1.0,,T-011|T-004|T-003,"ddd|and n + 1 happens|when its ienumerable and you iterate, then you iterate in memory",pending_transcript
IU-030,image-c68de52b96c2948590c64a1ed40e93325351d37e,59f4faee743a.png,59f4faee743a,R01,114.0,4839.935326898681,927.0,448.0,1.0,,T-011|T-010|T-004,ddd|why ll tends to violate|and n + 1 happens,pending_transcript
IU-031,image-aae7d0c5bb1d4e98955557f174669765ca55984d,14c189acd26d.png,14c189acd26d,R01,61.27750651041606,5275.046471918214,988.0,400.0,1.0,,T-011|T-010|T-004,ddd|why ll tends to violate|and n + 1 happens,pending_transcript
IU-032,image-bcabc93a6866c860912c5a672048062b07d19ce0,35888deb47b6.png,35888deb47b6,R01,50.555419921875,5727.490950271081,925.0,304.0,1.0,,T-011|T-010|T-004,ddd|why ll tends to violate|and n + 1 happens,pending_transcript
IU-033,image-9b940d562b2b94c0b2d8238703f8977291a1991b,57b1bcd02180.png,57b1bcd02180,R01,42.61104329427053,6072.324181879152,932.0,481.0,1.0,,T-011|T-010|T-004,ddd|why ll tends to violate|and n + 1 happens,pending_transcript
IU-034,image-7b79b56fb32c20b85339a064c53fd6b070dd892d,16efd25aebb6.png,16efd25aebb6,R01,10.0,6926.546268467695,935.0,417.0,1.0,,T-011|T-010|T-004,ddd|why ll tends to violate|and n + 1 happens,pending_transcript
IU-035,image-6bb34af7054f63d5c0d8b04a326a78e3b81ae5f2,badad8b1bc2a.png,badad8b1bc2a,R04,7086.840556707961,4911.960520823368,910.0,303.0,1.0,,T-005|T-011|T-010,evr ok if configured nav prorp|ddd|why ll tends to violate,pending_transcript
IU-036,image-a0a3c290c1f32ed55e9b4c69be81bd8c0cbbd66e,cd709b379284.png,cd709b379284,R04,7091.150022388764,4421.817663680512,909.0,449.0,1.0,,T-005|T-011|T-007,evr ok if configured nav prorp|ddd|hidden backing fields,pending_transcript
IU-037,image-1a7e3fd097f61a396f8fcc06cadfcd0ce12b54e7,cdbbf2cb302e.png,cdbbf2cb302e,R04,7048.054668036086,3960.9366822351994,919.0,426.0,1.0,,T-005|T-007|T-006,evr ok if configured nav prorp|hidden backing fields|problems with ll and,pending_transcript
IU-038,image-2883712383969be8eeb205b6b64ceb3ee634bde0,052f8bcc16f9.png,052f8bcc16f9,R04,7039.3882338843,3500.6032471766057,963.0,440.0,1.0,,T-005|T-007|T-006,evr ok if configured nav prorp|hidden backing fields|problems with ll and,pending_transcript
IU-039,image-0d345499ddcad051c0bd26b8978951c612cd5867,be4d996d1470.png,be4d996d1470,R04,6988.210702431377,3138.7829132746674,967.0,335.0,1.0,,T-005|T-007|T-006,evr ok if configured nav prorp|hidden backing fields|problems with ll and,pending_transcript
IU-040,image-5986d78a600030cfdb24bc1c46163f69016fe581,d90ab830387f.png,d90ab830387f,R04,6949.367477703631,2722.7728554207415,976.0,405.0,1.0,,T-005|T-007|T-006,evr ok if configured nav prorp|hidden backing fields|problems with ll and,pending_transcript
