region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
RIQ02A-S004,S-015,IU-015,0cc04e7eb4,RIQ02,RIQ02A,verified-from-source-image,high,no,high,Caller-added LINQ after return can replay,
RIQ02A-S005,S-016,IU-016,2970a712a5,RIQ02,RIQ02A,verified-from-source-image,medium,no,high,Type alone does not tell materialization state,Small canvas note; surrounding context makes the meaning clear.
RIQ02A-S006,S-017,IU-017,384776d4d6,RIQ02,RIQ02A,verified-from-source-image,high,no,high,"Without ToList you often have a recipe, not stored results",
RIQ02A-S007,S-018,IU-018,81bd1ea6ee,RIQ02,RIQ02A,verified-from-source-image,high,no,high,Any then foreach starts enumeration twice,
RIQ02A-S008,S-019,IU-019,9d4e1bc771,RIQ02,RIQ02A,verified-from-source-image,high,no,high,IEnumerable produces a new enumerator,
RIQ02A-S009,S-020,IU-020,d045b88124,RIQ02,RIQ02A,verified-from-source-image,high,no,high,Why ToList changes the replay behavior,
RIQ01A-S001,S-021,IU-021,0595fc31bb,RIQ01,RIQ01A,verified-from-source-image,high,no,high,IQueryable vs IEnumerable LINQ execution location,
RIQ01A-S002,S-022,IU-022,060e510549,RIQ01,RIQ01A,verified-from-source-image,high,no,high,Title: IQueryable is a leaky abstraction,
RIQ01A-S003,S-023,IU-023,97b0d19420,RIQ01,RIQ01A,verified-from-source-image,high,no,high,Repository exposes IQueryable and leaks EF translation details,
RIQ01A-S004,S-024,IU-024,cfce55e3c2,RIQ01,RIQ01A,verified-from-source-image,high,no,high,IQueryable interface is too broad,
RIQ01A-S005,S-025,IU-025,557cd8ade7,RIQ01,RIQ01A,verified-from-source-image,high,no,high,Expression parameters leak abstractions too,
RIQ01A-S006,S-026,IU-026,99cf810381,RIQ01,RIQ01A,verified-from-source-image,high,no,high,Do not expose IQueryable as public API,
RIQ01A-S007,S-027,IU-027,0f9cd73595,RIQ01,RIQ01A,verified-from-source-image,high,no,high,Alternative to IQueryable: IEnumerable interface,
RIQ01B-S001,S-028,IU-028,6d3de20cec,RIQ01,RIQ01B,verified-from-source-image,high,no,high,Return IEnumerable but pass filters as plain arguments,
RIQ01B-S002,S-029,IU-029,857afb5991,RIQ01,RIQ01B,verified-from-source-image,high,no,high,IEnumerable can also be leaky,
RIQ01B-S003,S-030,IU-030,fc87e7496a,RIQ01,RIQ01B,verified-from-source-image,high,no,high,Returning IQueryable from repository: risks and project size note,
RIQ01B-S004,S-031,IU-031,94f651210d,RIQ01,RIQ01B,verified-from-source-image,high,no,high,Design by Contract / LSP comment about LINQ query objects,Long screenshot is paraphrased rather than quoted verbatim.
RIQ02B-S001,S-032,IU-032,f91d34b55c,RIQ02,RIQ02B,verified-from-source-image,high,no,high,IEnumerable and lazy evaluation slide,
RIQ02B-S002,S-033,IU-033,0dbcd1e572,RIQ02,RIQ02B,verified-from-source-image,high,no,high,Disposed DbContext hidden behind IEnumerable,The code screenshot uses both local context and _context visually; transcript preserves the visible intent: deferred query escapes the context lifetime.
RIQ02B-S003,S-034,IU-034,b8acf08d71,RIQ02,RIQ02B,verified-from-source-image,high,no,high,IEnumerable is preferable to IQueryable when DbContext presence is assumed,
RIQ04A-S001,S-035,IU-035,a85a680041,RIQ04,RIQ04A,verified-from-source-image,high,no,high,Deferred IEnumerable logic reruns on each enumeration,
RIQ04A-S002,S-036,IU-036,ab7ec4847f,RIQ04,RIQ04A,verified-from-source-image,high,no,high,ToList caches once but original seq still reruns,
RIQ04B-S001,S-037,IU-037,438cdbae16,RIQ04,RIQ04B,verified-from-source-image,high,no,high,IAsyncEnumerable is usually a recipe too,
RIQ04B-S002,S-038,IU-038,66959a94bb,RIQ04,RIQ04B,verified-from-source-image,high,no,high,await foreach and ToListAsync enumerate async sequence,
RIQ04B-S003,S-039,IU-039,dc66c2e091,RIQ04,RIQ04B,verified-from-source-image,high,no,high,Async repeated enumeration can be more expensive,
RIQ04B-S004,S-040,IU-040,30a0ae790d,RIQ04,RIQ04B,verified-from-source-image,high,no,high,Some async enumerables are single-use,
RIQ05A-S001,S-041,IU-041,08bb48288e,RIQ05,RIQ05A,verified-from-source-image,high,no,high,yield return not allowed inside finally,
RIQ05A-S002,S-042,IU-042,3e6fce2b27,RIQ05,RIQ05A,verified-from-source-image,high,no,high,Early stop disposes enumerator and runs finally cleanup,
RIQ05B-S001,S-043,IU-043,0513bfd6a7,RIQ05,RIQ05B,verified-from-source-image,high,no,high,Manual enumerator disposal triggers cleanup,
RIQ05B-S002,S-044,IU-044,83480cf104,RIQ05,RIQ05B,verified-from-source-image,high,no,high,Async iterator cleanup and finally,
