region_source_id,source_id,image_use_id,fileId_short,region,x,y,width,height,status,readability,confidence,topic,summary,nearest_labels,notes
R02R03-S011,S-064,IU-064,aa2cce4e9a,R02,3208.2085736924346,4902.496112829236,928.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure","Explains throughput and database-load tradeoffs: batching, table locks, index/trigger costs, transaction log pressure and streaming large files.",heap for staging strat | stream in very large files | watch trans log,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S012,S-065,IU-065,1884a5ec61,R02,4606.948185321977,4960.485253633242,1055.0,286.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure","Explains throughput and database-load tradeoffs: batching, table locks, index/trigger costs, transaction log pressure and streaming large files.",watch trans log | stream in very large files | manage indexes,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S013,S-071,IU-071,bdaced3ab2,R02,2107.923557570677,5365.930151692455,939.0,196.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,so can include index,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S014,S-076,IU-076,3e50f7f6f9,R02,4605.7578253889415,5548.413825061815,985.0,333.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Performance checklist: TableLock, batch size, indexes, triggers, log pressure","Explains throughput and database-load tradeoffs: batching, table locks, index/trigger costs, transaction log pressure and streaming large files.",stream in very large files,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S015,S-088,IU-088,76995a0336,R02,5051.899464324724,7501.088017179693,855.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.","shared table, delete by | cleanup strategies",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S016,S-090,IU-090,7695a5f004,R02,3587.6259465561034,7552.729381186054,925.0,383.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",getting failed rows,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S017,S-091,IU-091,42ebeede78,R02,2496.724857714049,7568.116446862624,890.0,341.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",example with transaction | getting failed rows,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S018,S-092,IU-092,8f5e5d003e,R02,1635.7573150389271,7598.008807116709,778.0,376.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Staging-table flow and when to use staging,"Covers when bulk import should go through a staging table instead of writing directly into the final table, including validation/merge and safer operational flow.",recommended flow | example with transaction,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S019,S-093,IU-093,747c480672,R02,778.8742075164573,7634.216932043678,705.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Staging-table flow and when to use staging,"Covers when bulk import should go through a staging table instead of writing directly into the final table, including validation/merge and safer operational flow.",when use staging | recommended flow,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S020,S-096,IU-096,63bc43c92f,R02,2498.558353807799,7907.783194909499,931.0,357.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",example with transaction,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S021,S-097,IU-097,d278736aa2,R02,3588.705586778078,7964.186888122748,875.0,376.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",getting failed rows,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S022,S-098,IU-098,b5b07a470d,R02,5045.192337928709,8035.299754918408,969.0,445.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.","one improt at time,",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S023,S-099,IU-099,5193256a39,R02,756.8813380491029,8161.878903241865,958.0,297.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Staging-table flow and when to use staging,"Covers when bulk import should go through a staging table instead of writing directly into the final table, including validation/merge and safer operational flow.",when use staging | recommended flow | example with transaction,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S024,S-102,IU-102,cce8a9edaa,R02,2478.637746740509,8262.428764725966,951.0,397.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",example with transaction | cleanup inside/outside transaciton | getting failed rows,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S025,S-103,IU-103,6a89ebd4ca,R02,3595.597075958385,8337.66073019864,890.0,439.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.","one improt at time, | cleanup inside/outside transaciton | getting failed rows",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S026,S-107,IU-107,5817b5d378,R02,3613.652612137701,8785.859159851265,805.0,248.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.","cleanup inside/outside transaciton | one improt at time, | getting failed rows",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S027,S-108,IU-108,ae64155b22,R02,5055.321786713432,9050.50350383334,1008.0,222.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.","one improt at time,",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S028,S-109,IU-109,f88832b74d,R02,6151.247757850584,9054.466489401915,828.0,380.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.","one improt at time, | drop the table | from db to db",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S029,S-112,IU-112,e541906740,R02,5045.5793833204825,9292.199128290806,1036.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.","one improt at time, | drop the table",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S030,S-113,IU-113,93140451d7,R02,6164.653692157144,9488.222928705945,913.0,193.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.","drop the table | one improt at time, | custom idatareader csv",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S031,S-115,IU-115,6259b3095b,R02,3414.810563318757,9733.265216343647,839.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.",cleanup inside/outside transaciton | batch cleanup,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S032,S-116,IU-116,448c5efde8,R02,5052.986975025756,9789.976838251743,915.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.",drop the table,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S033,S-119,IU-119,8eb0b0ec30,R02,3430.3444452818057,10223.921466343647,976.0,197.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.",batch cleanup | cleanup inside/outside transaciton,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S034,S-120,IU-120,7a05901695,R02,6116.534164742032,10384.841069277943,909.0,204.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.",drop the table | temporary table | custom idatareader,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S035,S-121,IU-121,523785c2a9,R02,5062.157904226155,10388.810209722731,982.0,475.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.",temporary table | drop the table,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S036,S-123,IU-123,5c7def034b,R02,3442.6779413755557,10536.42140530849,986.0,468.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,batch cleanup | clean up idexes?,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S037,S-125,IU-125,37e5cb1e54,R02,5073.2685973880125,11003.931964390522,839.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,"Cleanup strategy: shared staging table, temp table, drop/delete/batch cleanup","Explains cleanup options after import: import identifiers, shared staging tables, temporary tables, drop-table cleanup and batch cleanup choices.",temporary table,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S038,S-126,IU-126,bd2882a17e,R02,3456.025750782097,11015.93184232021,722.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,clean up idexes?,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S039,S-127,IU-127,0c4ef2bbd1,R02,5985.344323211493,11020.254840367084,778.0,167.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.","temporary table | drop the table | keep failed rows,delete successfull",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S040,S-130,IU-130,528ee15b43,R02,5074.177331023993,11490.088214390522,923.0,390.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.","keep failed rows,delete successfull | temporary table",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S041,S-131,IU-131,99b4269a3c,R02,3477.0556911812746,11597.629771702534,637.0,376.0,processed-in-r02r03-final-v001,medium; exact punctuation should be corrected from preserved PNG,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,clean up idexes?,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S042,S-133,IU-133,3ee6c29c3e,R02,5080.677453094306,11873.75490140224,862.0,324.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.","keep failed rows,delete successfull",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S043,S-135,IU-135,0d7e2d93ad,R02,3471.01120858747,12013.34542509594,765.0,223.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Heap/staging schema and index strategy,Shows staging as heap/temporary table strategy and why indexes may be built after loading or cleaned up depending on the workflow.,clean up idexes?,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S044,S-136,IU-136,1d2f9bdb95,R02,5086.398484257053,12283.931964390522,797.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.","move errors to separate | keep failed rows,delete successfull",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S045,S-137,IU-137,fa674607c2,R02,5118.510827117743,13031.254840367084,989.0,105.0,processed-in-r02r03-final-v001,medium; exact punctuation should be corrected from preserved PNG,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",move errors to separate,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S046,S-138,IU-138,daf5d6cd3b,R02,5115.773916845152,13166.598590367084,813.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Transactions and failed-row/error isolation,"Covers transaction flow, getting failed rows, keeping failed rows, deleting successful rows, and moving errors into a separate path/table.",move errors to separate,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S047,S-094,IU-094,125d7a3b8a,R03,12999.200081438112,7872.721839981199,955.0,280.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Combining options and transaction/flow choices,Summarizes option combinations and how reader/custom-source flows interact with transaction strategy and import flow.,combine options,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S048,S-095,IU-095,a47067b4f0,R03,14460.38578452219,7906.027272673788,982.0,248.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,When to use / not use streaming reader strategy,Decision notes for choosing the simpler staging/DataTable path versus a custom streaming reader path.,when to/not to use,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S049,S-100,IU-100,57aa7629d7,R03,13010.631697073943,8164.158227785019,920.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Combining options and transaction/flow choices,Summarizes option combinations and how reader/custom-source flows interact with transaction strategy and import flow.,combine options,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S050,S-101,IU-101,f76a69e26d,R03,14484.18217124094,8216.897823889065,1047.0,287.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Combining options and transaction/flow choices,Summarizes option combinations and how reader/custom-source flows interact with transaction strategy and import flow.,when to/not to use | flow | when internal transaction,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S051,S-104,IU-104,8a378b1ab5,R03,10045.759070077238,8422.82292851195,982.0,114.0,processed-in-r02r03-final-v001,medium; exact punctuation should be corrected from preserved PNG,high for boundary; medium-high for exact code/query punctuation,Validation/error-response complexity in one-pass readers,"Explains why streaming/custom readers complicate validation, error reporting and extra business logic compared with staged materialization.","complexity | why not always | harder validation,error responding",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S052,S-105,IU-105,f3977eb60e,R03,8714.147596168317,8456.256984781614,1001.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.",from db to db | idatareader | complexity,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S053,S-106,IU-106,fdd4cd350f,R03,10049.135132684165,8609.142868988138,690.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Validation/error-response complexity in one-pass readers,"Explains why streaming/custom readers complicate validation, error reporting and extra business logic compared with staged materialization.","harder validation,error responding | complexity | why not always | sometimes need some additional logic",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S054,S-110,IU-110,42fc89fcf3,R03,8742.938723756892,9072.743768424405,975.0,464.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.","from db to db | harder validation,error responding",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S055,S-111,IU-111,261fafe2bc,R03,10071.263697415472,9166.920680674337,767.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Validation/error-response complexity in one-pass readers,"Explains why streaming/custom readers complicate validation, error reporting and extra business logic compared with staged materialization.","sometimes need some additional logic | harder validation,error responding",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S056,S-114,IU-114,747baff093,R03,8760.759215399037,9535.49773755911,912.0,355.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.",custom idatareader csv | sometimes need some additional logic,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S057,S-117,IU-117,9f6c4e7db3,R03,10072.007044819778,9936.475968353372,942.0,403.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Validation/error-response complexity in one-pass readers,"Explains why streaming/custom readers complicate validation, error reporting and extra business logic compared with staged materialization.",harder retry beh | sometimes need some additional logic | one pass processing less felxible,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S058,S-118,IU-118,099c411517,R03,8723.378292082445,10163.669643561092,962.0,374.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.",custom idatareader csv | custom idatareader | harder retry beh,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S059,S-122,IU-122,cc0ab4adc6,R03,10075.673813211706,10478.253780039571,968.0,355.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Retry and one-pass tradeoffs / when not to use custom readers,"Covers retry difficulty, one-pass inflexibility and cases where a custom reader is not faster or worth the complexity for small/medium imports.",one pass processing less felxible | harder retry beh,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S060,S-124,IU-124,1625d8fe57,R03,8673.03680716491,10785.275416518061,947.0,323.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.","custom readers,one read | custom idatareader",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S061,S-128,IU-128,8e065c81b5,R03,10070.22951796431,11230.531673105977,946.0,454.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Retry and one-pass tradeoffs / when not to use custom readers,"Covers retry difficulty, one-pass inflexibility and cases where a custom reader is not faster or worth the complexity for small/medium imports.",may be not faster for small//medium | one pass processing less felxible,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S062,S-129,IU-129,87c78b16e7,R03,8693.464847860652,11336.321116437173,983.0,339.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.","can use dbdatareader from | custom readers,one read | may be not faster for small//medium",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S063,S-132,IU-132,0242aa72d7,R03,10072.143668104534,11810.597611419778,895.0,482.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,Retry and one-pass tradeoffs / when not to use custom readers,"Covers retry difficulty, one-pass inflexibility and cases where a custom reader is not faster or worth the complexity for small/medium imports.",may be not faster for small//medium,Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
R02R03-S064,S-134,IU-134,b89b112e3a,R03,8675.492550599536,12012.57393488744,1014.0,478.0,processed-in-r02r03-final-v001,medium-high,high for boundary; medium-high for exact code/query punctuation,IDataReader / DbDataReader / custom reader streaming,"Shows reader-based import sources, including database-to-database reads and custom CSV/IDataReader implementations for streaming data.","can use dbdatareader from | may be not faster for small//medium | custom readers,one read",Verified from contact sheet/source image. Preserved PNG remains source of truth for exact code/query punctuation.
