source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,p02_boundary_decision,p02_boundary_note
S-033,33,161f386d06921b50a20b89d52120a76a9036714c,161f386d06,2649.916,13869.287,723.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-028,28,95f93bd43b1b1b690789a75b2d6ae00ba1d53e3d,95f93bd43b,1230.202,13966.488,985.0,308.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-027,27,68e2c7b178684de2420fe05358a98d2f03a48db8,68e2c7b178,1269.035,14292.543,944.0,477.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-034,34,37dfbb2636b305bfb58f16818eda97faca6f96d6,37dfbb2636,2637.528,14326.62,887.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-035,35,a553051bef9bf8d3ec0974987b778c4d3fcdacae,a553051bef,2647.296,14814.276,963.0,451.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-036,36,679f21defc36852e7a747a2b8af7cbc9b81fe41b,679f21defc,2655.796,15271.443,1090.0,430.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-037,37,5150f941916f47f2cee68c0b7c9176802bdb3459,5150f94191,2657.296,15703.61,1127.0,371.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-038,38,2987cf61d62153b6de3876af014c39f14c987d44,2987cf61d6,2689.208,16071.954,962.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-039,39,fe2a64c2aed254b63058444bb5b070b4454506b6,fe2a64c2ae,2699.896,16559.954,818.0,482.0,0.0,1,R04-company-domain-deployment-spn-troubleshooting,P02-R03R04-dual-scheme-company-deploy-troubleshooting,"Company/domain setup, IIS Express vs real AD environment, app pool identity/SPN, whoami endpoints, 401/login-prompt troubleshooting.",L-001: implementations | L-002: basic info about configuring computers for windows auth,processed-in-r04-v001,yes-for-r04-v001-boundary,"R04 processed after P02 boundary review: company/domain deployment, SPN, whoami/claims, 401/login-prompt troubleshooting.",R04,no-for-r04-v001,include-r04,Included in P02 because it belongs to dual-scheme composition or deployment/troubleshooting.
S-001,1,fa5f3584ab8572151d5328f8fb34fd116331fec6,fa5f3584ab,1300.179,640.059,1037.0,202.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-002,2,524f0a19efc99606709a37a540acfe390ed4e275,524f0a19ef,1268.069,293.889,980.0,321.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-003,3,d2f9d27cfdafca595badefff838dc9c5fda89493,d2f9d27cfd,1266.328,10.0,988.0,231.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-018,18,bffe844253b5379d09b2c87f53a06585787234bf,bffe844253,1200.999,1714.927,1037.0,202.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-019,19,524f0a19efc99606709a37a540acfe390ed4e275,524f0a19ef,1185.212,1347.811,980.0,321.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-020,20,d2f9d27cfdafca595badefff838dc9c5fda89493,d2f9d27cfd,1191.984,1089.983,988.0,231.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-017,17,151f8a5464a2f4aca90b2343f55ee2a0b98f83ab,151f8a5464,1236.234,1964.976,888.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-016,16,d8d9f1d2613bb95ec446bf38ce2ad93ed43dbc9f,d8d9f1d261,1222.594,2478.466,972.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-015,15,b76ca0717af8d3395e61cd0a42509cf46fc01bba,b76ca0717a,1220.939,2970.345,966.0,109.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-010,10,d2a16de9204bcacc12a0010f1d77b2655709e676,d2a16de920,1254.78,4763.808,912.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-009,9,2755bb9bc89d4b3971436e2c1804c706ecbc586c,2755bb9bc8,1260.98,5264.302,986.0,164.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-008,8,aa3bfb34bf4d4b35474cbd8690e1db2c7e674182,aa3bfb34bf,1296.059,5504.798,958.0,448.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-007,7,e6fb8db232a89da8f9009cc4100a0bd0479380f9,e6fb8db232,1315.037,5970.883,974.0,428.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-006,6,4cb9ace26d4ea8f4d13ee7c8893ec0ef827bda9b,4cb9ace26d,1327.612,6405.675,883.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-005,5,e6257781600fe22e39d388d95aa8a15425eace6f,e625778160,1330.744,6906.938,1054.0,482.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-004,4,0f2f908e68d592174aba86de232ca0dbd4e8e0df,0f2f908e68,1355.352,7400.542,972.0,419.0,0.0,1,R01-core-windows-auth-model-ad-kerberos-ntlm,P01-R01-core-model-and-aspnet-hosting-basics,"Windows Authentication concept, Active Directory, Kerberos/NTLM, intranet/public-site constraints, request-flow basics.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r01-v001,yes-for-r01-v001-boundary,R01 processed after P01 boundary review.,R01,no-for-r01-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-014,14,f193cd522d2e91955bad83444045e876bafaff62,f193cd522d,1270.428,3131.134,751.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-013,13,e9a75ebe63246f4203ad25a222a6549766770620,e9a75ebe63,1271.5,3615.101,909.0,369.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-012,12,1b4604c3be1a23f6af26edb7ecfd5a7803391094,1b4604c3be,1274.577,3979.746,843.0,389.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-011,11,366bfcb1f56159d70241d2112faee3e99a689b4f,366bfcb1f5,1261.652,4350.559,854.0,384.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-047,47,1b8c6b69129f60fba700b9902ae85fb0f067b84f,1b8c6b6912,10.0,8503.763,910.0,357.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-041,41,16ed66e2e928bcade641599a8033e43a9ad30924,16ed66e2e9,1336.262,8674.911,1011.0,399.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-046,46,dc41e59ea9c73dbbf7220642097ce1f33050cbab,dc41e59ea9,41.31,8887.033,916.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-042,42,0c214067711d4c8ba64aa0512f49775724ffbb2a,0c21406771,1350.651,9089.485,1000.0,278.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-045,45,986c70a4d9d9e7a227e4dc6104b9ff2568d6897b,986c70a4d9,59.907,9376.744,985.0,214.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-043,43,91b49748e8216c1c3019b4d63d3760168e110be4,91b49748e8,1344.005,9382.884,1010.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
S-044,44,771c83d2f41792cd7ceb4951f0ca0cfd9d9b96e4,771c83d2f4,1376.45,9898.44,913.0,482.0,0.0,1,R02-aspnet-core-iis-negotiate-basic-implementation,P01-R02-aspnet-core-iis-negotiate-implementation,"ASP.NET Core setup, AddAuthentication/AddNegotiate, Authorize attributes, IIS/IIS Express Windows Authentication switches.",L-002: basic info about configuring computers for windows auth | L-001: implementations,processed-in-r02-v001,yes-for-r02-v001-boundary,R02 processed after P01 boundary review.,R02,no-for-r02-v001,checked-not-p02-already-p01,Already processed in P01; neighbor context only.
