region_source_id,source_id,image_use_id,fileId_short,region,subregion,status,readability,cut_off,confidence,theme,notes
CTXDB02-S009,S-013,IU-013,6cbd79dabe,CTXDB02,CTXDB02B,verified-visible-partial-from-source-image,high,bottom-continues,high-for-visible-part,CurrentTransaction ownership example start,
CTXDB02-S010,S-015,IU-015,52e76fdb20,CTXDB02,CTXDB02A,verified-visible-partial-from-source-image,high,bottom-continues,high-for-visible-part,WhenNeeded single statement example,
CTXDB02-S011,S-017,IU-017,f349958410,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,AutoSavepoints true normal choice,
CTXDB02-S012,S-018,IU-018,f1b6b3ec43,CTXDB02,CTXDB02B,verified-visible-partial-from-source-image,high,top-continues-from-S013,high-for-visible-part,CurrentTransaction guarded transaction code,
CTXDB02-S013,S-020,IU-020,1d557a6bdb,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,Manual transaction with two SaveChanges,
CTXDB02-S014,S-021,IU-021,9630c78d6c,CTXDB02,CTXDB02B,verified-visible-partial-from-source-image,high,bottom-continues,high-for-visible-part,WhenNeeded multiple statements example,
CTXDB02-S015,S-022,IU-022,bbfabb5d20,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,CurrentTransaction flow standalone vs outer transaction,
CTXDB02-S016,S-023,IU-023,e27cd4bbd8,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,AutoSavepoints true flow,
CTXDB02-S017,S-025,IU-025,8c016512b6,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,WhenNeeded with multiple statements flow,
CTXDB02-S018,S-026,IU-026,ae6e5fab1f,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,CurrentTransaction with raw ADO.NET / Dapper,
CTXDB02-S019,S-027,IU-027,515cefc600,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,AutoSavepoints false large batch import,
CTXDB02-S020,S-028,IU-028,5c580fc158,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,AutoTransactionBehavior Always,
CTXDB02-S021,S-029,IU-029,9d59cacc4a,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,AutoSavepoints false intended flow and caution,
CTXDB02-S022,S-030,IU-030,be34ea62c8,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,Always flow and use case,
CTXDB02-S023,S-033,IU-033,43d314f73d,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,AutoTransactionBehavior Never warning,
CTXDB02-S024,S-035,IU-035,c6542a3688,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,Never example,
CTXDB02-S025,S-039,IU-039,02b511c630,CTXDB02,CTXDB02B,verified-from-source-image,high,no,high,Refined summary: disabling automatic savepoints,
CTXDB02-S026,S-041,IU-041,6baa058c54,CTXDB02,CTXDB02A,verified-from-source-image,high,no,high,When Never can make practical sense,
CTXDB02-S027,S-043,IU-043,b9ee766727,CTXDB02,CTXDB02B,verified-visible-partial-from-source-image,high,bottom-continues-into-S047,high-for-visible-part,Explicit savepoint business phase pattern start,
CTXDB02-S028,S-047,IU-047,463b614f06,CTXDB02,CTXDB02B,verified-visible-partial-from-source-image,high,continues-into-S052,high-for-visible-part,Explicit business phase savepoint pattern middle,
CTXDB02-S029,S-052,IU-052,0ced7794a9,CTXDB02,CTXDB02B,verified-visible-partial-from-source-image,high,top-continues-from-S047,high-for-visible-part,Explicit business phase savepoint pattern end,
