source_id,order_in_group,group_key,region,candidate_status,decision,meaning,image_use_id,fileId_short,x,y,width,height,nearest_labels_for_search_only
S-001,1,BYTES-R01-stream-to-byte-array-toarray-readasbytearray,BYTES-R01,bytes-r01-stream-to-byte-array-candidate-stage0,candidate-not-final-stage0-boundary-only,"Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",IU-001,95a8895a79,4382.675,359.142,847.0,482.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop
S-025,1,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-025,7fca9d5d4f,1677.803,4425.604,952.0,307.0,"readatleast | can limit upper bound | readasync | compact methods conspect | can use a slice | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | (implicit loooping)"
S-026,2,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-026,a2ddc4fcde,1726.784,4759.738,692.0,430.0,"readatleast | can use a slice | !!! | can limit upper bound | readasync | but the benefit is limiter, you will | allocate the same size | compact methods conspect | make sense when you just cant affort to read more that the buffer size/limit | because of some logic,not some memory considerations"
S-027,3,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-027,2f51507f51,4683.521,4939.83,1003.0,461.0,"can use a slice | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | because of some logic,not some memory considerations | many repeated operations can cost more | can limit upper bound | readatleast, | readasync"
S-028,4,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-028,5786c00c51,1720.475,5208.31,783.0,430.0,"readatleast | !!! | but the benefit is limiter, you will | allocate the same size | make sense when you just cant affort to read more that the buffer size/limit | can use a slice | because of some logic,not some memory considerations | many repeated operations can cost more | readatleast, | need enough to work"
S-029,5,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-029,e0a1064f58,1716.028,5634.863,683.0,181.0,"readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | readatleast, | allocate the same size | but the benefit is limiter, you will | need enough to work | !!! | can use a slice"
S-030,6,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-030,2889d39afb,1719.597,5838.281,863.0,482.0,"need enough to work | readatleast, | readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice"
S-031,7,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-031,8f2c1e0fcd,4672.247,5984.563,931.0,385.0,"need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | readexactly | can use a slice"
S-032,8,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-032,e840872a80,1717.528,6326.567,920.0,445.0,"need enough to work | readatleast, | readatleast | many repeated operations can cost more | readexactly | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!!"
S-033,9,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-033,e26265df6e,4671.747,6401.045,932.0,355.0,"need enough to work | readatleast, | readexactly | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice"
S-034,10,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-034,f4daf233e1,4631.632,6775.5,851.0,209.0,"readexactly | need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice"
S-035,11,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-035,f115a1fc2f,1738.101,6801.244,654.0,482.0,"readexactly | need enough to work | readatleast, | readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!!"
S-036,12,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-036,a26d9ea469,4673.11,7265.51,780.0,482.0,"readexactly | need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice"
S-037,13,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-037,a27eb58b49,1666.177,7317.049,959.0,217.0,"readexactly | need enough to work | readatleast, | readatleast | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!!"
S-038,14,BYTES-R03-readatleast-readexactly-fixed-size-reads,BYTES-R03,bytes-r03-readatleast-readexactly-candidate-stage0,candidate-not-final-stage0-boundary-only,"ReadAtLeast / ReadExactly / fixed-size reads: enough-to-work buffers, exact counts, minimum counts, EOF behavior, exceptions, and protocol-oriented reads.",IU-038,d877046c28,4662.314,7756.969,826.0,280.0,"readexactly | need enough to work | readatleast, | many repeated operations can cost more | because of some logic,not some memory considerations | make sense when you just cant affort to read more that the buffer size/limit | allocate the same size | but the benefit is limiter, you will | !!! | can use a slice"
