source_id,image_use_id,fileId,fileId_short,x,y,x_center,y_center,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-006,IU-006,8a232da43012177f003bd2cac088142de3549bcd,8a232da430,7542.419,2284.89,8037.419,2397.89,990,226,"L-006: shadow prop usage | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter",checked-not-ef02-pending-shadow-property-query-filter,pending-shadow-property-query-filter,no-pending-future-boundary-review,yes,"Checked during EF02 transcript: shadow property/query filter, not Attach/disconnected updates.","Checked during EF02 transcript: shadow property/query filter, not Attach/disconnected updates."
S-032,IU-032,27e0fafb7d1dd39ad64edc5438ff329d5a637ded,27e0fafb7d,5666.154,2335.702,6111.154,2486.702,890,302,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-048,IU-048,119679e20cbced03fb1e7006f8c4986131a0a55f,119679e20c,22457.508,2341.303,22869.008,2582.303,823,482,L-069: reading your own uncommited changes | L-033: concurrency in db  commands | isrowversion isconcurrencytoken | L-041: transaction patterns | L-040: transactions | L-061: EXECUTEASYNC | WITH NEW CONTEXT | PER RETRY PATTERN,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-029,IU-029,5e335b4ef189aa60a3a99594deae30f73b88a348,5e335b4ef1,8761.267,2461.568,9171.267,2606.068,820,289,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-028: ctors wont run when ef materializes entities?",processed-in-ef02-v001,EF02,yes-for-ef02-v001-boundary,no-for-ef02-v001,Included in EF02 v001 after visual/semantic transcript pass.,Included in EF02 v001 after visual/semantic transcript pass.
S-011,IU-011,3dc7a29628084e374f8250cf75dfe35a028f5916,3dc7a29628,14410.101,2512.601,14715.601,2693.101,611,361,L-116: alternate key sheet | L-117: coposite key sheet | L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-009: how to save yourself | from sit when someone make 2 parallel requests | to create acc with same email | L-004: owned isrequired,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-008,IU-008,5f5db5c14f14f8f2229c24570125d93c44fdc31f,5f5db5c14f,4095.484,2538.652,4556.984,2779.652,923,482,L-007: reduce cpu and everything for reads | L-044: asnotrackkingwithidentityresolution | L-030: identity map pattern | L-038: so rep shit | L-046: partial init antipatter,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-002,IU-002,5152f87defad976c9dd3ee14756ef28ee32a6574,5152f87def,15947.515,2566.929,16176.515,2762.429,458,391,"L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-004: owned isrequired | L-118: remove  warnings | dbset | L-003: navigation | L-005: need to add somewhere, to some general dbcontext mapping sheet mb",unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-033,IU-033,31d62e0a787f927257864cfe55f7d0b3c267c8a3,31d62e0a78,5636.154,2708.813,6051.154,2877.813,830,338,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-038: so rep shit",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-024,IU-024,4538d60710a3dffc240a4b71beb39cd039c107cf,4538d60710,10302.698,2713.734,10716.698,2818.734,828,210,"L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-028: ctors wont run when ef materializes entities? | L-008: Attach | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-026: nullable relationships",checked-not-ef02-pending-constructors-materialization,pending-constructors-materialization,no-pending-future-boundary-review,yes,"Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates.","Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates."
S-030,IU-030,1b74640858f7eede262744d40f1dd43b3a2a5cc7,1b74640858,8762.46,2823.004,9118.96,2943.504,713,241,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-028: ctors wont run when ef materializes entities?",processed-in-ef02-v001,EF02,yes-for-ef02-v001-boundary,no-for-ef02-v001,Included in EF02 v001 after visual/semantic transcript pass.,Included in EF02 v001 after visual/semantic transcript pass.
S-025,IU-025,bc91d60828e809f6f6912a7f8135900d5770015c,bc91d60828,10301.576,2932.244,10644.576,3173.244,686,482,"L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-026: nullable relationships | L-028: ctors wont run when ef materializes entities? | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach",checked-not-ef02-pending-constructors-materialization,pending-constructors-materialization,no-pending-future-boundary-review,yes,"Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates.","Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates."
S-049,IU-049,3710ca8272c1f3d9c6a7d4c590e992559504cb75,3710ca8272,20055.974,2978.029,20458.474,3201.529,805,447,L-036: about transactions isolation level for atomicity | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth | L-069: reading your own uncommited changes | L-034: dbcontext about transactions strategies | L-041: transaction patterns,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-034,IU-034,07d0c9bb3c5a467c780b0f613c12c3e674f4ac3e,07d0c9bb3c,5627.265,3082.869,6022.265,3253.369,790,341,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-044: asnotrackkingwithidentityresolution",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-007,IU-007,a67f713acec88461f5025b56f8ff356744568f30,a67f713ace,4115.564,3088.652,4592.064,3329.652,953,482,L-044: asnotrackkingwithidentityresolution | L-007: reduce cpu and everything for reads | L-030: identity map pattern | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-046: partial init antipatter,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-028,IU-028,354939e8d711e4357a48a491dd3910fc58ad5f50,354939e8d7,8751.825,3135.582,9110.325,3566.082,717,861,"L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach | L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-006: shadow prop usage | L-026: nullable relationships",processed-in-ef02-v001,EF02,yes-for-ef02-v001-boundary,no-for-ef02-v001,Included in EF02 v001 after visual/semantic transcript pass.,Included in EF02 v001 after visual/semantic transcript pass.
S-003,IU-003,3945d0f1d71dd0bdb3cb1faa44bbea3b98c0035b,3945d0f1d7,15777.344,3287.175,16301.844,3528.175,1049,482,"L-001: efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in clien | L-118: remove  warnings | dbset | L-004: owned isrequired | L-005: need to add somewhere, to some general dbcontext mapping sheet mb | L-003: navigation",unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-026,IU-026,e42dcdf3236026efc2ab2a5f140f254438ebc6ab,e42dcdf323,10295.198,3437.901,10704.698,3561.401,819,247,"L-027: what to avoid in ctors, | would ef use parameterless ctor by default? | L-026: nullable relationships | L-028: ctors wont run when ef materializes entities? | L-029: 1 if not default id - marks as unchanged | 2 if need to modify - attach then modify or mark modified excplicitly | 3 if  | L-008: Attach",checked-not-ef02-pending-constructors-materialization,pending-constructors-materialization,no-pending-future-boundary-review,yes,"Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates.","Checked during EF02 transcript: constructors/materialization, not Attach/disconnected updates."
S-050,IU-050,4e35b1cbc9934429c0cd8079ae69a2a49dd4ca29,4e35b1cbc9,20027.726,3457.15,20421.226,3654.65,787,395,L-036: about transactions isolation level for atomicity | L-069: reading your own uncommited changes | L-041: transaction patterns | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth | L-034: dbcontext about transactions strategies,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-035,IU-035,f5a69d20bc55a391997a61bb78f7c73b64aaac8e,f5a69d20bc,5589.137,3465.546,6002.137,3706.546,826,482,"L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-030: identity map pattern | L-006: shadow prop usage | L-044: asnotrackkingwithidentityresolution",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-051,IU-051,b7164244ce7dec37e2e2e5c83a86e10438119523,b7164244ce,20005.988,3882.198,20405.988,3993.698,800,223,L-036: about transactions isolation level for atomicity | L-041: transaction patterns | L-069: reading your own uncommited changes | L-035: so i have some scenarios when i may need some | transaction or when i may think that i need them | 1 when i query someth | L-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-036,IU-036,0e5b2c9aff1b36026f880b36a533c32519359072,0e5b2c9aff,5590.0,4023.323,5942.5,4264.323,705,482,"L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution | L-045: can do partial inits only | for projections for read, | write need encapsulation, | and invariants | also cant return th | L-046: partial init antipatter | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea",processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-052,IU-052,a9bd2293fc248ae07c1173e461985575a8632271,a9bd2293fc,20017.107,4150.603,20465.607,4391.603,897,482,L-041: transaction patterns | L-062: PLAIN TRANSACTION WITH | BEGINTRANSACTION | L-036: about transactions isolation level for atomicity | L-069: reading your own uncommited changes | L-055: Executeasync,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-053,IU-053,05e414e028c1b1d6bcf153369b0749a86442e877,05e414e028,4020.017,4151.878,4428.517,4275.878,817,248,L-044: asnotrackkingwithidentityresolution | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-075: MEMORY OVERHEAD WITH IDENTITY RESOL | COMPARED WITH ASNOTRACKING AND TRACKING | L-007: reduce cpu and everything for reads,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-054,IU-054,be97b0c8b5b2d0e172a660b68ab319bf1f567d37,be97b0c8b5,4031.44,4421.388,4434.44,4662.388,806,482,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution | L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-075: MEMORY OVERHEAD WITH IDENTITY RESOL | COMPARED WITH ASNOTRACKING AND TRACKING,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-037,IU-037,691ce63670c573632306077fd985abe8a79cf054,691ce63670,5530.728,4543.207,5958.228,4782.207,855,478,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-044: asnotrackkingwithidentityresolution | L-043: when useful | L-032: loadasyn + autoinclude,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-055,IU-055,75c8a8c2fe0408b09f303c6a5d18507692fd706d,75c8a8c2fe,4009.906,4926.692,4437.406,5090.692,855,328,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution | L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-038,IU-038,ac404adaa82d93827686a2a6fe617389f48e3ee9,ac404adaa8,5528.069,5021.051,5851.569,5262.051,647,482,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-032: loadasyn + autoinclude | L-044: asnotrackkingwithidentityresolution,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-056,IU-056,2252a4c4afcbe8a8e28a05d968b23522b3d8aa09,2252a4c4af,4019.517,5287.378,4428.517,5435.878,818,297,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-044: asnotrackkingwithidentityresolution | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-014,IU-014,9f752fd7b7e8a9c2414c7e769e05e46fee6a55df,9f752fd7b7,13678.144,5293.284,14096.644,5508.784,837,431,L-010: better to have isrequired false too | L-117: coposite key sheet | L-011: complex types | L-116: alternate key sheet | L-026: nullable relationships,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-039,IU-039,7f7dafd9fefedd4b605034e67f3b2ae00150d9a6,7f7dafd9fe,5515.41,5519.707,5936.41,5742.207,842,445,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-044: asnotrackkingwithidentityresolution,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-015,IU-015,9be28189df2434f3546cf4174c7bd08a89b95b9f,9be28189df,13680.406,5763.355,14101.406,5917.355,842,308,L-010: better to have isrequired false too | L-011: complex types | L-117: coposite key sheet | L-116: alternate key sheet | L-026: nullable relationships,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-057,IU-057,eb072cdd8b55fe760879fe34f3b04b621f5fcd97,eb072cdd8b,4010.894,5767.769,4429.394,5897.769,837,260,L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-044: asnotrackkingwithidentityresolution,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-040,IU-040,e3704b53e4028549ffea767beb54d99d4d85d70d,e3704b53e4,5517.91,5993.374,5936.41,6208.874,837,431,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-058,IU-058,16669395cb0b63e0e7f40d871b74ea04330e9fa3,16669395cb,4030.098,6037.219,4325.098,6278.219,590,482,L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-044: asnotrackkingwithidentityresolution,processed-in-ef01a-v001,EF01A,yes-for-ef01a-v001-boundary,no-for-ef01a-v001,Included in EF01A v001 after visual/semantic transcript pass.,Included in EF01A v001 after visual/semantic transcript pass.
S-019,IU-019,3945d0f1d71dd0bdb3cb1faa44bbea3b98c0035b,3945d0f1d7,12335.771,6064.037,12860.271,6305.037,1049,482,L-010: better to have isrequired false too | L-011: complex types | L-026: nullable relationships | L-117: coposite key sheet | L-116: alternate key sheet,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-016,IU-016,dfe76f5f7c139b6c8d4be2a2408d2c252aac81fd,dfe76f5f7c,13658.369,6177.797,14104.869,6325.797,893,296,L-010: better to have isrequired false too | L-011: complex types | L-117: coposite key sheet | L-116: alternate key sheet | L-026: nullable relationships,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-041,IU-041,2175a4a601a6018b498319898b0c9d0d68e07b2f,2175a4a601,5498.016,6440.798,5757.016,6611.298,518,341,L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-017,IU-017,8d6946160e8d6fae504a054f47ec06e48b97fd8f,8d6946160e,13650.793,6453.661,14107.293,6682.161,913,457,L-011: complex types | L-010: better to have isrequired false too | L-117: coposite key sheet | L-026: nullable relationships | L-116: alternate key sheet,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-059,IU-059,f79556b4d71305bb2cc0fdfff4aea1c5141d7545,f79556b4d7,3977.764,6768.128,4360.264,7009.128,765,482,L-043: when useful | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-032: loadasyn + autoinclude | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,processed-in-ef01a-v002-correction,EF01A,yes-for-ef01a-v002-correction,no-for-ef01a-v002,Moved from pending EF01B to EF01A correction: identity-resolution example.,Moved from pending EF01B to EF01A correction: identity-resolution example.
S-018,IU-018,deb7e62c3fe6139054d5ee0347b8701300674f10,deb7e62c3f,13635.914,6955.059,13976.414,7175.559,681,441,L-011: complex types | L-010: better to have isrequired false too | L-117: coposite key sheet | L-026: nullable relationships | L-116: alternate key sheet,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-060,IU-060,a42c0c4aade351c6fd6c251b8056286ec1da1a0a,a42c0c4aad,3962.803,7299.557,4400.303,7536.557,875,474,L-043: when useful | L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-044: asnotrackkingwithidentityresolution,processed-in-ef01a-v002-correction,EF01A,yes-for-ef01a-v002-correction,no-for-ef01a-v002,Moved from pending EF01B to EF01A correction: identity-resolution example.,Moved from pending EF01B to EF01A correction: identity-resolution example.
S-042,IU-042,810b517d3a83149a422a3176c0d2b7a7dbd03a48,810b517d3a,5491.121,7617.874,5907.621,7826.374,833,417,L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-043: when useful | L-042: use asnotrackingwithidentityresolution for ef core reads by default? | L-077: db invariant handling | strategies,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-023,IU-023,2e1caff84a4b3178d0d7c8e1c8b94ec40640a55d,2e1caff84a,13634.013,7822.371,13937.013,8063.371,606,482,L-011: complex types | L-010: better to have isrequired false too | L-130: not all comp columns | are indexable/persistable | L-048: db exceptions | concur | L-131: collation may already solve casing,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-043,IU-043,4f85a4e72bc4203abba590b7d6516fbdb45ba18a,4f85a4e72b,5505.621,8080.707,5907.621,8279.707,804,398,L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-043: when useful | L-077: db invariant handling | strategies | L-042: use asnotrackingwithidentityresolution for ef core reads by default?,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
S-022,IU-022,064840baae85fdbca51e7262310dab5aab2349a6,064840baae,13648.067,8323.253,13965.067,8564.253,634,482,L-011: complex types | L-010: better to have isrequired false too | L-130: not all comp columns | are indexable/persistable | L-048: db exceptions | concur | L-131: collation may already solve casing,unreviewed,,no,yes,Not yet reviewed under boundary workflow.,Not yet reviewed under boundary workflow.
S-044,IU-044,3edaef3497bb5e79e529e96ee786e7cefca5d89b,3edaef3497,5517.906,8527.44,5821.906,8768.44,608,482,L-032: loadasyn + autoinclude | L-031: so in writes we potentially can do some shit when we fetch | something while having something that we have fetched alrea | L-077: db invariant handling | strategies | L-043: when useful | L-013: native declarative | constraints,processed-in-ef01b-v001,EF01B,yes-for-ef01b-v001-boundary,no-for-ef01b-v001,Included in EF01B v001 after visual/semantic transcript pass.,Included in EF01B v001 after visual/semantic transcript pass.
