source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-013,IU-013,119679e20cbced03fb1e7006f8c4986131a0a55f,119679e20c,S-013__119679e20c.png,22457.508,2341.303,823.0,482.0,isrowversion isconcurrencytoken | concurrency in db  commands | reading your own uncommited changes | need to wrap everything in one transaction with any isolatoin level but usually with default | 4 when i have some database.executesql  or other like dbset.executeupdate (that is | one savechanges succeds another fails and we get inconsistency | linq based but everything else like executesql) - they all dont care about savechanges | queried entity and each may call savechanges | so if i want them to be in a traqnsaction i need to create transaction | 3 when i have some possible nesting of methods that mutate,processed-in-efc-r04-v001,EFC-R04,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,Included in EF Core General Stage2 EFC-R04 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage2 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R04-transactions-concurrency-execution-strategy
S-014,IU-014,5e335b4ef189aa60a3a99594deae30f73b88a348,5e335b4ef1,S-014__5e335b4ef1.png,8761.267,2461.568,820.0,289.0,"config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | what to avoid in ctors, | would ef use parameterless ctor by default? | shadow prop usage",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-015,IU-015,3dc7a29628084e374f8250cf75dfe35a028f5916,3dc7a29628,S-015__3dc7a29628.png,14410.101,2512.601,611.0,361.0,to create acc with same email | alternate key sheet | from sit when someone make 2 parallel requests | how to save yourself | coposite key sheet | efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly | owned isrequired | some onmodel creat hshit,processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-016,IU-016,5f5db5c14f14f8f2229c24570125d93c44fdc31f,5f5db5c14f,S-016__5f5db5c14f.png,4095.484,2538.652,923.0,482.0,"reduce cpu and everything for reads | identity map pattern | FROM TRAKING | with all data present | if will lie about yourself being valid domain model | asnotrackkingwithidentityresolution | with partial init even for reads, because | ABOUT CPU/MEMORY USAGE | also cant return the domain model | and invariants",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-017,IU-017,5152f87defad976c9dd3ee14756ef28ee32a6574,5152f87def,S-017__5152f87def.png,15947.515,2566.929,458.0,391.0,"efcore can materialise objecteven if all of its columns are null | the fact that you have ? for  your fullname  in client can be not enough | so its better to do the shit excplicitly | owned isrequired | navigation | remove  warnings | need to add somewhere, to some general dbcontext mapping sheet mb | dbset | hascheck constraint | alternate key sheet",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-018,IU-018,31d62e0a787f927257864cfe55f7d0b3c267c8a3,31d62e0a78,S-018__31d62e0a78.png,5636.154,2708.813,830.0,338.0,"identity map pattern | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only | partial init antipatter",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-019,IU-019,4538d60710a3dffc240a4b71beb39cd039c107cf,4538d60710,S-019__4538d60710.png,10302.698,2713.734,828.0,210.0,"would ef use parameterless ctor by default? | what to avoid in ctors, | config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | ctors wont run when ef materializes entities?",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-020,IU-020,1b74640858f7eede262744d40f1dd43b3a2a5cc7,1b74640858,S-020__1b74640858.png,8762.46,2823.004,713.0,241.0,"config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | would ef use parameterless ctor by default? | what to avoid in ctors, | shadow prop usage",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-021,IU-021,bc91d60828e809f6f6912a7f8135900d5770015c,bc91d60828,S-021__bc91d60828.png,10301.576,2932.244,686.0,482.0,"would ef use parameterless ctor by default? | what to avoid in ctors, | config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | ctors wont run when ef materializes entities?",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-022,IU-022,3710ca8272c1f3d9c6a7d4c590e992559504cb75,3710ca8272,S-022__3710ca8272.png,20055.974,2978.029,805.0,447.0,"about transactions isolation level for atomicity | veryfies that db has been changed when we lost conn and cant say if transaction was succ of not | need to wrap with createexecutionstrat executeasync or executeintransactionasync for | 6 enableautomaticretryonfailure - retry the whole delegate,isolation level doesnt matter | able to inspect db changes from that isolation | and try again, but only for automatic shit + need to have right isolation level so i will be | i need to catch exception for concurrency and then get entry, load db data | 5 if i have some buisness rule with automatic concurrency conflict resolution | Retries | so if i want them to be in a traqnsaction i need to create transaction",processed-in-efc-r04-v001,EFC-R04,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,Included in EF Core General Stage2 EFC-R04 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage2 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R04-transactions-concurrency-execution-strategy
S-023,IU-023,07d0c9bb3c5a467c780b0f613c12c3e674f4ac3e,07d0c9bb3c,S-023__07d0c9bb3c.png,5627.265,3082.869,790.0,341.0,"identity map pattern | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only | partial init antipatter",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-024,IU-024,a67f713acec88461f5025b56f8ff356744568f30,a67f713ace,S-024__a67f713ace.png,4115.564,3088.652,953.0,482.0,"asnotrackkingwithidentityresolution | reduce cpu and everything for reads | MEMORY OVERHEAD WITH IDENTITY RESOL | COMPARED WITH ASNOTRACKING AND TRACKING | identity map pattern | FROM TRAKING | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-025,IU-025,354939e8d711e4357a48a491dd3910fc58ad5f50,354939e8d7,S-025__354939e8d7.png,8751.825,3135.582,717.0,861.0,"config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | Attach | would ef use parameterless ctor by default? | what to avoid in ctors, | shadow prop usage",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-026,IU-026,3945d0f1d71dd0bdb3cb1faa44bbea3b98c0035b,3945d0f1d7,S-026__3945d0f1d7.png,15777.344,3287.175,1049.0,482.0,"so its better to do the shit excplicitly | the fact that you have ? for  your fullname  in client can be not enough | efcore can materialise objecteven if all of its columns are null | alternate key sheet | dbset | remove  warnings | coposite key sheet | owned isrequired | navigation | need to add somewhere, to some general dbcontext mapping sheet mb",processed-in-efc-r03-v001,EFC-R03,yes-for-efc-r03-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R03 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R03-model-configuration-relationships-keys
S-027,IU-027,e42dcdf3236026efc2ab2a5f140f254438ebc6ab,e42dcdf323,S-027__e42dcdf323.png,10295.198,3437.901,819.0,247.0,"would ef use parameterless ctor by default? | what to avoid in ctors, | config so model | 4 when updating entity with detached - detached will be modified need to override savexchanges or | to avoid adding existing but detached | 3 if adding new entity with detached in some prop - need to attach that detached | 2 if need to modify - attach then modify or mark modified excplicitly | 1 if not default id - marks as unchanged | coposite key sheet | alternate key sheet",processed-in-efc-r02-v001,EFC-R02,yes-for-efc-r02-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R02 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R02-entities-constructors-attach-shadow-props
S-028,IU-028,4e35b1cbc9934429c0cd8079ae69a2a49dd4ca29,4e35b1cbc9,S-028__4e35b1cbc9.png,20027.726,3457.15,787.0,395.0,"about transactions isolation level for atomicity | veryfies that db has been changed when we lost conn and cant say if transaction was succ of not | need to wrap with createexecutionstrat executeasync or executeintransactionasync for | 6 enableautomaticretryonfailure - retry the whole delegate,isolation level doesnt matter | able to inspect db changes from that isolation | and try again, but only for automatic shit + need to have right isolation level so i will be | i need to catch exception for concurrency and then get entry, load db data | 5 if i have some buisness rule with automatic concurrency conflict resolution | Retries | so if i want them to be in a traqnsaction i need to create transaction",processed-in-efc-r04-v001,EFC-R04,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,Included in EF Core General Stage2 EFC-R04 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage2 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R04-transactions-concurrency-execution-strategy
S-029,IU-029,f5a69d20bc55a391997a61bb78f7c73b64aaac8e,f5a69d20bc,S-029__f5a69d20bc.png,5589.137,3465.546,826.0,482.0,"asnotrackkingwithidentityresolution | identity map pattern | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants | write need encapsulation, | for projections for read, | can do partial inits only",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-030,IU-030,b7164244ce7dec37e2e2e5c83a86e10438119523,b7164244ce,S-030__b7164244ce.png,20005.988,3882.198,800.0,223.0,"about transactions isolation level for atomicity | veryfies that db has been changed when we lost conn and cant say if transaction was succ of not | need to wrap with createexecutionstrat executeasync or executeintransactionasync for | 6 enableautomaticretryonfailure - retry the whole delegate,isolation level doesnt matter | able to inspect db changes from that isolation | and try again, but only for automatic shit + need to have right isolation level so i will be | i need to catch exception for concurrency and then get entry, load db data | 5 if i have some buisness rule with automatic concurrency conflict resolution | Retries | so if i want them to be in a traqnsaction i need to create transaction",processed-in-efc-r04-v001,EFC-R04,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,Included in EF Core General Stage2 EFC-R04 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage2 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R04-transactions-concurrency-execution-strategy
S-031,IU-031,0e5b2c9aff1b36026f880b36a533c32519359072,0e5b2c9aff,S-031__0e5b2c9aff.png,5590.0,4023.323,705.0,482.0,"asnotrackkingwithidentityresolution | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | identity map pattern | use asnotrackingwithidentityresolution for ef core reads by default? | with all data present | if will lie about yourself being valid domain model | with partial init even for reads, because | also cant return the domain model | and invariants",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-032,IU-032,a9bd2293fc248ae07c1173e461985575a8632271,a9bd2293fc,S-032__a9bd2293fc.png,20017.107,4150.603,897.0,482.0,"about transactions isolation level for atomicity | veryfies that db has been changed when we lost conn and cant say if transaction was succ of not | need to wrap with createexecutionstrat executeasync or executeintransactionasync for | 6 enableautomaticretryonfailure - retry the whole delegate,isolation level doesnt matter | able to inspect db changes from that isolation | and try again, but only for automatic shit + need to have right isolation level so i will be | i need to catch exception for concurrency and then get entry, load db data | 5 if i have some buisness rule with automatic concurrency conflict resolution | Retries | so if i want them to be in a traqnsaction i need to create transaction",processed-in-efc-r04-v001,EFC-R04,yes-for-efc-r04-stage2,no-for-stage2-semantic-transcript,Included in EF Core General Stage2 EFC-R04 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage2 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R04-transactions-concurrency-execution-strategy
S-033,IU-033,05e414e028c1b1d6bcf153369b0749a86442e877,05e414e028,S-033__05e414e028.png,4020.017,4151.878,817.0,248.0,asnotrackkingwithidentityresolution | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | use asnotrackingwithidentityresolution for ef core reads by default? | reduce cpu and everything for reads | when useful | identity map pattern | FROM TRAKING | ABOUT CPU/MEMORY USAGE | with all data present,processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-034,IU-034,be97b0c8b5b2d0e172a660b68ab319bf1f567d37,be97b0c8b5,S-034__be97b0c8b5.png,4031.44,4421.388,806.0,482.0,asnotrackkingwithidentityresolution | use asnotrackingwithidentityresolution for ef core reads by default? | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | when useful | reduce cpu and everything for reads | can i select from some random table | even if i query from customers dbset | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and,processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-035,IU-035,691ce63670c573632306077fd985abe8a79cf054,691ce63670,S-035__691ce63670.png,5530.728,4543.207,855.0,478.0,"asnotrackkingwithidentityresolution | use asnotrackingwithidentityresolution for ef core reads by default? | COMPARED WITH ASNOTRACKING AND TRACKING | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | MEMORY OVERHEAD WITH IDENTITY RESOL | mb have changed? | dont think so, sounds like shit | load and find more about explicitness and debugging | or when you allow partial loading in writes, chat gpt forces this shit actively",processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
S-036,IU-036,75c8a8c2fe0408b09f303c6a5d18507692fd706d,75c8a8c2fe,S-036__75c8a8c2fe.png,4009.906,4926.692,855.0,328.0,use asnotrackingwithidentityresolution for ef core reads by default? | asnotrackkingwithidentityresolution | when useful | COMPARED WITH ASNOTRACKING AND TRACKING | MEMORY OVERHEAD WITH IDENTITY RESOL | can i select from some random table | even if i query from customers dbset | so in writes we potentially can do some shit when we fetch | something while having something that we have fetched already and | mb have changed?,processed-in-efc-r01-v001,EFC-R01,yes-for-efc-r01-stage1,no-for-stage1-semantic-transcript,Included in EF Core General Stage1 EFC-R01 transcript; source-level semantic transcript exists; exact code punctuation remains in preserved PNG.,Stage1 semantic transcript complete for this source. Use PNG for exact code punctuation.,EFC-R01-repository-reads-tracking-identity-map
